date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-28,323034.084672,50701.44,323050.713765,50704.05,318753.717906,50029.62,319476.0959,50143.0,2081.17378,2081.17378,48685.9555,54526.7194,47642.9461,-0.011014282829047928,-0.008815166157826848,-0.11133362871067787,1
2021-12-27,323505.815724,50775.48,331868.2744,52088.0,321425.7137,50449.0,323034.084672,50701.44,28779.58212,28779.58212,48680.331,54778.1624,47572.8175,-0.0014583808053845182,0.005144927076526917,-0.0886468029667209,1
2021-12-26,321111.417471,50399.67,326720.264,51280.0,314818.6756,49412.0,323505.879437,50775.49,22569.88914,22569.88914,48663.6525,54992.06479999999,47505.880300000004,0.007456994749567736,0.02792029286386244,-0.09571716906194683,1
2021-12-25,323789.402287,50819.99,325931.688199,51156.23,319471.763416,50142.32,321111.353758,50399.66,19135.51613,19135.51613,48613.486000000004,55202.814000000006,47420.78605,-0.008271153089334793,0.02537390287812591,-0.16009889568924518,1
2021-12-24,323909.373866,50838.82,330097.053,51810.0,321014.318859,50384.43,323789.466,50820.0,31661.94946,31661.94946,48530.109500000006,55414.3142,47334.45,-0.00036999292469663825,-0.051884244804905943,-0.17143285704037514,1
2021-12-23,309569.807521,48588.17,327325.5375,51375.0,305315.371946,47920.42,323909.310153,50838.81,35192.54046,35192.54046,48668.2215,55655.467599999996,47259.2375,0.04632095555789717,-0.09988484488584881,-0.19507875081657733,1
2021-12-22,311477.502167,48887.59,315864.397069,49576.13,308510.260331,48421.87,309569.743808,48588.16,27004.2022,27004.2022,49062.8305,55948.1042,47193.8627,-0.00617142034302387,-0.15032001045046284,-0.2282636163262336,1
2021-12-21,298904.251321,46914.17,314289.602848,49328.96,297093.719,46630.0,311492.092444,48889.88,37713.92924,37713.92924,49477.53999999999,56188.5288,47133.558300000004,0.042113511144609594,-0.14153820436533027,-0.230988910735352,1
2021-12-20,297420.184412,46681.24,302876.119741,47537.57,290269.101005,45558.85,298904.187608,46914.16,35848.50609,35848.50609,49979.36,56476.2416,47095.221450000005,0.004989799968852626,-0.18800268276324605,-0.2162686267958569,1
2021-12-19,298396.458711,46834.47,307733.853713,48300.01,295672.345683,46406.91,297420.120699,46681.23,29305.70665,29305.70665,50534.111000000004,56779.8008,47049.6587,-0.003272161877317714,-0.18496153985831132,-0.22201100855415346,1
