date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,178.63,180.73,173.282,174.16,174.16,2549905.0,0.0,1.0,169.427,161.8052,177.0488,57.5271,170.1206,1.5458,2.3502,0.8044,169.0075,165.4884401552,173.539571283925,-1,-0.022506594825166926,0.029010339734121038,-0.11802449323105524
2021-12-16,175.34,179.05,174.67,178.17,178.17,1659444.0,0.0,1.0,169.0075,161.5522,176.4628,63.6669,169.6954,1.3447,2.2847,0.9399,168.5615,165.20484008129998,173.522642300995,-1,0.011582353943110135,0.04861397210287799,-0.10259582222366714
2021-12-15,173.08,177.8442,173.08,176.13,176.13,1728303.0,0.0,1.0,168.5615,162.3965,174.7265,61.6908,168.8033,1.1097,1.7595,0.6498,168.2505,164.91140436042,173.524889438965,-1,0.020038223200324445,0.036790675771132486,-0.11112317252093362
2021-12-14,173.0,173.92,171.1568,172.67,172.67,1244725.0,0.0,1.0,168.2505,163.1,173.401,58.0113,168.0321,0.9473,1.2713,0.324,168.111,164.70921003880002,173.53962969252004,-1,0.0034286378428636244,0.03993013731630923,-0.1257429329292773
2021-12-13,167.67,173.27,166.21,172.08,172.08,1922887.0,0.0,1.0,168.111,163.3074,172.9146,57.3477,167.5439,0.8663,0.9821,0.1158,167.809,164.5345028392,173.56099868415,-1,0.021064498902272577,0.037001325780402716,-0.12592285820457572
2021-12-10,167.65,169.09,167.12,168.53,168.53,794230.0,0.0,1.0,167.809,163.2905,172.3275,53.1115,167.0664,0.8373,0.6586,-0.1787,167.67950000000002,164.45243989654003,173.606396055425,-1,0.00964533908459142,0.018677466150870403,-0.13913282922061865
2021-12-09,167.62,167.89,165.77,166.92,166.92,732270.0,0.0,1.0,167.6795,163.103,172.256,51.0155,166.9123,0.882,0.5977,-0.2843,167.6055,164.45221974504,173.66077537367997,-1,-0.005125759923709672,0.004634366536262258,-0.146974147919137
2021-12-08,165.41,168.21,165.0,167.78,167.78,904891.0,0.0,1.0,167.6055,162.9353,172.2757,52.1996,166.9115,0.9531,0.6752,-0.2779,167.524,164.40600677466003,173.72090990933998,-1,0.015248699019726475,0.02136726121629029,-0.1525954178013612
2021-12-07,167.79,168.37,163.895,165.26,165.26,1689986.0,0.0,1.0,167.524,162.8122,172.2358,48.8977,166.8201,1.0226,0.6766,-0.3459,167.4745,164.37464956582,173.813607730285,-1,-0.020565400343744433,0.012250398137939378,-0.15587837817048722
2021-12-06,168.16,169.58,167.15,168.73,168.73,1127557.0,0.0,1.0,167.4745,162.6491,172.2999,53.7551,166.9843,1.1091,0.9253,-0.1838,167.201,164.26773665088,173.890966594715,-1,0.00338962892483341,0.026088542933592862,-0.13543908785536096
2021-12-03,166.22,169.66,166.22,168.16,168.16,1205580.0,0.0,1.0,167.201,162.0802,172.3218,53.027,166.8006,1.155,0.8758,-0.2792,167.015,164.12913379319997,173.96764387059,-1,0.010151979335615957,0.01693275278180928,-0.14371206347979026
2021-12-02,166.29,168.04,165.97,166.47,166.47,1663891.0,0.0,1.0,167.015,161.7782,172.2518,50.8469,166.6575,1.2248,0.858,-0.3668,166.9595,164.02035951224,174.065524105125,-1,0.004283301158301223,0.006530019952838861,-0.15433490700518726
2021-12-01,163.0,166.97,162.24,165.76,165.76,1576080.0,0.0,1.0,166.9595,161.6774,172.2416,49.9193,166.6772,1.3165,0.9949,-0.3216,166.941,163.95715947527998,174.15768391971,-1,0.01786920478968379,0.014443084455324273,-0.16415737199609615
2021-11-30,169.66,169.66,162.62,162.85,162.85,2794829.0,0.0,1.0,166.941,161.6397,172.2423,45.9474,166.7737,1.3969,1.2274,-0.1695,166.9685,163.97221512596,174.24276275441503,-1,-0.037301962638921715,-0.0009815348751610609,-0.1778195176966293
