date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,148.51,149.84,146.57,148.76,148.76,13878798.0,0.0,1.0,155.809,149.7265,143.644,37.9046,151.9865,-4.0867,0.7683,-3.3184,150.06750000000002,162.2206,175.9377,-1,6.722689075622235e-05,-0.0544714930401069,-0.1428406799193317
2021-12-16,151.35,152.06,148.58,148.75,148.75,11145624.0,0.0,1.0,156.64,150.0675,143.495,37.8871,152.3262,-4.2788,0.8484,-3.4304,150.49650000000003,162.7552,176.1341,-1,-0.01097074468085113,-0.06346408109299262,-0.14076940850277264
2021-12-15,148.76,150.92,147.35,150.4,150.4,12231479.0,0.0,1.0,157.7535,150.4965,143.2395,39.6391,152.7026,-4.4909,0.9685,-3.5224,150.918,163.23940000000002,176.3434,-1,0.00871898054996656,-0.05068484504197435,-0.13533402322639987
2021-12-14,149.26,151.62,148.52,149.1,149.1,10872028.0,0.0,1.0,159.0322,150.918,142.8038,37.475,152.945,-4.733,0.9764,-3.7566,151.38450000000003,163.7266,176.56759999999997,-1,-0.00884132154490469,-0.06596504416463067,-0.11931482575310115
2021-12-13,152.12,152.5,149.29,150.43,150.43,10195818.0,0.0,1.0,160.079,151.3845,142.69,38.828,153.3497,-4.9771,1.1086,-3.8686,151.84449999999998,164.2382,176.79035,-1,-0.014930259969877513,-0.07204984269940162,-0.1439221488732073
2021-12-10,153.58,154.66,151.45,152.71,152.71,10247891.0,0.0,1.0,161.2341,151.8445,142.4549,41.2537,153.657,-5.2543,1.1637,-4.0906,152.3145,164.56740000000002,176.972,-1,-0.0015038577219823601,-0.12462023502436215,-0.01279979313465629
2021-12-09,152.27,154.29,151.7,152.94,152.94,11862333.0,0.0,1.0,162.7167,152.3145,141.9123,41.5022,153.7567,-5.5452,0.9986,-4.5466,153.39,164.96220000000002,177.1622,-1,-0.002608582235555046,-0.1266061332876478,-0.009648384381273134
2021-12-08,150.91,153.655,150.56,153.34,153.34,12886261.0,0.0,1.0,167.585,153.39,139.195,41.9193,153.8427,-5.7948,0.7088,-5.086,154.4785,165.3858,177.38305,-1,0.016776075857038775,-0.13303556284276585,-0.0024720270621909624
2021-12-07,151.84,152.76,149.72,150.81,150.81,14661067.0,0.0,1.0,171.5404,154.4785,137.4166,38.1861,153.8956,-5.9721,0.2309,-5.7412,155.7815,165.9348,177.61445,-1,0.002926115581565414,-0.14131982007629673,-0.018675169182717388
2021-12-06,147.28,150.7399,146.67,150.37,150.37,14333932.0,0.0,1.0,175.3238,155.7815,136.2392,37.5226,154.2204,-6.0298,-0.2065,-6.2363,157.0445,166.44740000000002,177.82139999999998,-1,0.02838189030228433,-0.11692506459948315,-0.024458284676268205
2021-12-03,147.81,148.315,144.32,146.22,146.22,14975619.0,0.0,1.0,178.2213,157.0445,135.8677,30.8743,154.6257,-5.9781,-0.7546,-6.7328,158.2475,167.048,178.00854999999999,-1,-0.0066576086956521285,-0.1402869238005645,-0.04581049334377452
2021-12-02,142.84,147.65,142.77,147.2,147.2,18177709.0,0.0,1.0,179.5611,158.2475,136.9339,31.6294,155.5105,-5.7895,-1.0565,-6.846,159.3915,167.577,178.18755000000002,-1,0.035525852972212224,-0.13325089795678047,-0.04172905409804062
2021-12-01,146.7,148.37,142.04,142.15,142.15,16503227.0,0.0,1.0,180.6665,159.3915,138.1165,22.3307,156.3853,-5.5253,-1.4653,-6.9906,160.77550000000002,168.15739999999997,178.40900000000002,-1,-0.01897860593512768,-0.16475703625359883,-0.04878211991434689
2021-11-30,146.72,147.28,143.11,144.9,144.9,26011109.0,0.0,1.0,180.9573,160.7755,140.5937,24.0208,157.8838,-5.159,-1.4004,-6.5594,162.04000000000002,168.8316,178.61625,-1,-0.01968743657398009,-0.1429585378837167,-0.021012093777447394
2021-11-29,148.81,149.3,144.25,147.81,147.81,21231323.0,0.0,1.0,181.2293,162.04,142.8507,25.9988,159.2505,-4.8089,-1.3847,-6.1936,163.103,169.54480000000004,178.81555,-1,-0.0020255215718048003,-0.12888967468175394,0.0046217630666758325
2021-11-26,146.8,148.85,145.85,148.11,148.11,12027675.0,0.0,1.0,181.3539,163.103,144.8521,26.2102,160.4548,-4.4628,-1.4702,-5.9329,164.1815,170.24939999999998,179.02955000000003,-1,-0.021342672128981,-0.12645237393099373,-0.006573210812261032
2021-11-24,150.69,151.41,148.8,151.34,151.34,14123739.0,0.0,1.0,181.2735,164.1815,147.0895,28.5876,161.7542,-4.0952,-1.4493,-5.5445,165.092,170.91080000000002,179.22100000000003,-1,0.0020525723366218163,-0.12032085561497319,-0.0009901643672850513
2021-11-23,153.84,154.25,150.19,151.03,151.03,17382893.0,0.0,1.0,181.2661,165.092,148.9179,27.9921,162.8504,-3.7329,-1.564,-5.2968,166.1425,171.5382,179.40689999999998,-1,-0.020303580695381407,-0.12196965292715534,0.03459377996985902
2021-11-22,153.225,155.8232,152.57,154.16,154.16,12790408.0,0.0,1.0,181.2188,166.1425,151.0662,30.4258,164.0947,-3.3419,-1.5303,-4.8722,167.035,172.1546,179.58610000000002,-1,0.0010389610389609505,-0.09007201038838386,0.0927908130715247
2021-11-19,155.02,155.21,152.77,154.0,154.0,16776492.0,0.0,1.0,181.2575,167.035,152.8125,30.1308,165.1405,-2.9593,-1.6187,-4.578,167.80599999999998,172.757,179.72190000000003,-1,-0.010155546985473829,-0.10120228784872187,0.0866497318656505
2021-11-18,157.09,157.3,153.71,155.58,155.58,14487740.0,0.0,1.0,180.731,167.806,154.881,31.3789,166.3131,-2.5547,-1.565,-4.1196,168.594,173.36360000000002,179.84515,-1,-0.011123117015190975,-0.08777484608619168,0.0811674774148714
2021-11-17,158.73,158.89,156.75,157.33,157.33,14695528.0,0.0,1.0,180.3062,168.594,156.8818,32.809,167.4429,-2.1634,-1.4721,-3.6355,169.255,173.92,179.94064999999998,-1,-0.009444059686457229,-0.0809089846944736,0.08878892733564014
2021-11-16,159.06,160.24,158.55,158.83,158.83,15516161.0,0.0,1.0,179.782,169.255,158.728,34.0735,168.5075,-1.7954,-1.3475,-3.1429,169.8725,174.4302,180.03130000000002,-1,0.002524774348292569,-0.07192941451443247,0.09787792907997539
2021-11-15,160.09,160.72,157.66,158.43,158.43,21285347.0,0.0,1.0,179.2692,169.8725,160.4758,33.4234,169.5261,-1.4585,-1.1627,-2.6212,170.50799999999998,174.8816,180.09400000000002,-1,-0.007517383950385148,-0.10217613056783403,0.1450563746747615
2021-11-12,163.52,163.61,158.93,159.63,159.63,25453485.0,0.0,1.0,178.3065,170.508,162.7095,34.3898,170.6941,-1.1679,-0.7086,-1.8765,171.3495,175.3262,180.1367,-1,-0.015298254271790879,-0.08474284731380077,0.1779073199527743
