date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-20,1.0812744,0.1695,1.08956736,0.1708,1.068516,0.1675,1.08063648,0.1694,78351985.0,78351985.0,0.179985,0.21912800000000002,0.24388315,0.0,-0.21209302325581392,1.3948777325851816,-1
2021-12-19,1.09913616,0.1723,1.11380832,0.1746,1.07872272,0.1691,1.08063648,0.1694,479149291.0,479149291.0,0.18226499999999998,0.22111999999999998,0.24515305,-0.016831108531630945,-0.1828268210323204,1.2790259652899234,-1
2021-12-18,1.07425728,0.1684,1.12082544,0.1757,1.05830928,0.1659,1.09913616,0.1723,594262965.0,594262965.0,0.18401499999999998,0.22343799999999997,0.24614185,0.022551928783382857,-0.15910200097608584,1.7041576227268518,-1
2021-12-17,1.10487744,0.1732,1.12656672,0.1766,1.02960288,0.1614,1.0748952,0.1685,1033871332.0,1033871332.0,0.185835,0.22606199999999999,0.2469272,-0.02713625866050795,-0.1641865079365079,1.7359314669463761,-1
2021-12-16,1.15335936,0.1808,1.18206576,0.1853,1.09913616,0.1723,1.10487744,0.1732,1077785070.0,1077785070.0,0.187255,0.22735599999999997,0.24757015,-0.042035398230088505,-0.21593481213218657,1.803323848646409,-1
2021-12-15,1.21778928,0.1909,1.21970304,0.1912,1.08637776,0.1703,1.15335936,0.1808,2177343912.0,2177343912.0,0.18926,0.228858,0.24818015,-0.05290728129910949,-0.16682027649769593,2.076038375620354,-1
2021-12-14,1.00408608,0.1574,1.40597568,0.2204,0.98813808,0.1549,1.21778928,0.1909,7338444571.0,7338444571.0,0.190565,0.230342,0.2487818,0.21360457724094073,-0.15754633715798771,1.9640693924511718,-1
2021-12-13,1.08191232,0.1696,1.08701568,0.1704,0.96581088,0.1514,1.00344816,0.1573,972416861.0,972416861.0,0.19402999999999998,0.23270800000000003,0.24966545,-0.0730701237477902,-0.28337129840546704,1.6217016226883025,-1
2021-12-12,1.07744688,0.1689,1.10870496,0.1738,1.05639552,0.1656,1.08255024,0.1697,499912432.0,499912432.0,0.19652,0.234336,0.25058115000000003,0.004736530491415092,-0.2474501108647451,1.9567396065462943,-1
2021-12-11,1.04682672,0.1641,1.084464,0.17,1.02832704,0.1612,1.07744688,0.1689,654792769.0,654792769.0,0.19934999999999997,0.23585,0.25146655,0.02925045703839113,-0.2751072961373391,2.042623754082502,-1
2021-12-10,1.07872272,0.1691,1.11508416,0.1748,1.04108544,0.1632,1.04682672,0.1641,743981315.0,743981315.0,0.202795,0.23741600000000002,0.2524755,-0.029568302779420463,-0.2954057535422928,1.8497053915175679,-1
2021-12-09,1.14251472,0.1791,1.16930736,0.1833,1.0748952,0.1685,1.07872272,0.1691,974195305.0,974195305.0,0.205985,0.23913,0.25316164999999996,-0.055307262569832316,-0.2341485507246377,1.7207929075960164,-1
2021-12-08,1.12401504,0.1762,1.16165232,0.1821,1.0972224,0.172,1.1418768,0.179,870067110.0,870067110.0,0.208075,0.240458,0.2539766,0.015891032917139558,-0.24599831508003378,2.32900005393352,-1
2021-12-07,1.132308,0.1775,1.17313488,0.1839,1.11380832,0.1746,1.12401504,0.1762,1069148248.0,1069148248.0,0.21113500000000002,0.241882,0.2548845,-0.007882882882882969,-0.2549682875264271,2.2629448354916546,-1
2021-12-06,1.09211904,0.1712,1.15080768,0.1804,1.01493072,0.1591,1.13294592,0.1776,1661970370.0,1661970370.0,0.21408,0.24308600000000002,0.2559844,0.03738317757009346,-0.30787217459080274,2.281353928017146,-1
2021-12-05,1.13613552,0.1781,1.15591104,0.1812,1.03151664,0.1617,1.09211904,0.1712,1381389600.0,1381389600.0,0.21835,0.244406,0.25677565,-0.0387422796181921,-0.34855403348554026,2.190125518022718,-1
2021-12-04,1.27456416,0.1998,1.27839168,0.2004,0.8356752,0.131,1.13613552,0.1781,5303849448.2,5303849448.2,0.22258499999999998,0.245524,0.25826385,-0.10905452726363174,-0.31840796019900486,2.271731942097142,-1
2021-12-03,1.3364424,0.2095,1.35366624,0.2122,1.21332384,0.1902,1.27520208,0.1999,1011968037.0,1011968037.0,0.22565500000000002,0.246176,0.25970185,-0.045823389021479755,-0.2290782876976475,2.7065880476905675,-1
2021-12-02,1.33516656,0.2093,1.42447536,0.2233,1.28285712,0.2011,1.3364424,0.2095,1689895075.0,1689895075.0,0.228145,0.246638,0.26122285,0.000955566172957445,-0.19577735124760087,3.0865290836031676,-1
2021-12-01,1.36961424,0.2147,1.39640688,0.2189,1.31283936,0.2058,1.33516656,0.2093,803902283.0,803902283.0,0.23070500000000002,0.24697400000000003,0.2627191,-0.025151374010246808,-0.18018018018018023,3.06410923579989,-1
2021-11-30,1.37089008,0.2149,1.451268,0.2275,1.35558,0.2125,1.36961424,0.2147,1617695220.0,1617695220.0,0.23273499999999997,0.247304,0.26444415,-0.0013953488372092648,-0.2152777777777778,3.024126013060135,-1
2021-11-29,1.32177024,0.2072,1.4480784,0.227,1.291788,0.2025,1.371528,0.215,1857437869.0,1857437869.0,0.23566499999999996,0.24758,0.2658164,0.037144235407621684,-0.23731819794253273,2.9170674828742165,-1
2021-11-28,1.30709808,0.2049,1.32304608,0.2074,1.21651344,0.1907,1.32240816,0.2073,858901257.0,858901257.0,0.23939499999999997,0.248368,0.26673790000000003,0.01171303074670571,-0.22184684684684686,2.6065910320626466,-1
2021-11-27,1.28604672,0.2016,1.339632,0.21,1.2790296,0.2005,1.30709808,0.2049,908852823.0,908852823.0,0.24247000000000002,0.24915199999999998,0.2681797,0.016369047619047672,-0.21734148204736436,2.4835919250033154,-1
2021-11-26,1.4098032,0.221,1.41426864,0.2217,1.1865312,0.186,1.28604672,0.2016,2305030656.3,2305030656.3,0.24548,0.24997600000000003,0.2694254,-0.08736985061113633,-0.22729014948256043,2.4611105769891086,-1
2021-11-25,1.3842864,0.217,1.46019888,0.2289,1.36387296,0.2138,1.40916528,0.2209,1097415948.0,1097415948.0,0.24748,0.25064,0.27117405,0.01797235023041477,-0.16007604562737643,2.85188801799524,-1
2021-11-24,1.44616464,0.2267,1.46976768,0.2304,1.34345952,0.2106,1.3842864,0.217,1150989995.0,1150989995.0,0.24978000000000003,0.251332,0.27327444999999995,-0.0423654015887025,-0.19300855336556333,2.748359013335176,-1
2021-11-23,1.39959648,0.2194,1.51123248,0.2369,1.36004544,0.2132,1.44552672,0.2266,1648276631.0,1648276631.0,0.251895,0.251628,0.27559055,0.032346241457858804,-0.17269076305220876,2.863551500664101,-1
2021-11-22,1.43914752,0.2256,1.44999216,0.2273,1.37982096,0.2163,1.4002344,0.2195,715429215.0,715429215.0,0.254615,0.251674,0.27739835,-0.026607538802660757,-0.1918262150220913,2.8529659060789094,-1
2021-11-21,1.4863536,0.233,1.48890528,0.2334,1.43532,0.225,1.4385096,0.2255,584498069.0,584498069.0,0.25692,0.25153400000000004,0.27954085,-0.03218884120171672,-0.19464285714285723,2.8731729101183423,-1
2021-11-20,1.48507776,0.2328,1.50357744,0.2357,1.43468208,0.2249,1.4863536,0.233,638393250.0,638393250.0,0.25927,0.251326,0.28106855000000003,0.0004293688278231844,-0.13382899628252787,2.7108292508902805,-1
2021-11-19,1.40916528,0.2209,1.51123248,0.2369,1.3747176,0.2155,1.48571568,0.2329,1011256982.0,1011256982.0,0.261075,0.25075200000000003,0.28211115,0.05480072463768115,-0.19188063844552394,3.213622901556091,-1
2021-11-18,1.51378416,0.2373,1.53930096,0.2413,1.371528,0.215,1.40852736,0.2208,1424059825.0,1424059825.0,0.264445,0.25031,0.282877,-0.06992417860151645,-0.2632632632632633,2.94789070350411,-1
2021-11-17,1.50804288,0.2364,1.53930096,0.2413,1.46275056,0.2293,1.51442208,0.2374,1016537117.0,1016537117.0,0.26755999999999996,0.24949199999999996,0.28364435,0.0038054968287526414,-0.0021017234131988083,3.249210656318687,-1
2021-11-16,1.63754064,0.2567,1.63754064,0.2567,1.419372,0.2225,1.5086808,0.2365,1931306150.0,1931306150.0,0.26763,0.24875599999999998,0.28414915,-0.07833203429462199,-0.07581086361860112,3.0838034455904415,-1
2021-11-15,1.67645376,0.2628,1.69303968,0.2654,1.62860976,0.2553,1.63690272,0.2566,784663988.0,784663988.0,0.267595,0.247724,0.2843901,-0.023592085235920823,-0.032063372312335026,3.0747104351333414,-1
2021-11-14,1.66624704,0.2612,1.73450448,0.2719,1.65667824,0.2597,1.67645376,0.2628,1109308026.0,1109308026.0,0.26771,0.246634,0.28469165,0.00574052812858783,-0.04644412191582015,4.055100207551488,-1
2021-11-13,1.65476448,0.2594,1.67390208,0.2624,1.62159264,0.2542,1.66688496,0.2613,730909452.0,730909452.0,0.268425,0.24559,0.28474675,0.007713073659853409,0.040621266427717906,4.127671766211135,-1
2021-11-12,1.66114368,0.2604,1.71345312,0.2686,1.58459328,0.2484,1.65412656,0.2593,1227134455.0,1227134455.0,0.268015,0.244896,0.2848083,-0.004606525911708403,0.06009811937857701,4.235369534712336,-1
2021-11-11,1.62860976,0.2553,1.73259072,0.2716,1.61329968,0.2529,1.6617816,0.2605,1356541795.0,1356541795.0,0.26721999999999996,0.244176,0.28476375,0.020368194281237706,0.0746699669966997,4.211407079911576,-1
2021-11-10,1.74598704,0.2737,1.770228,0.2775,1.499112,0.235,1.62860976,0.2553,2600272877.0,2600272877.0,0.266575,0.24308800000000003,0.28483725,-0.0668859649122806,0.001962323390894749,4.064009235419899,-1
2021-11-09,1.7989344,0.282,1.8531576,0.2905,1.72748736,0.2708,1.74534912,0.2736,1854893482.0,1854893482.0,0.265635,0.241788,0.28471832750000003,-0.029443064916637063,0.11491442542787289,4.432451751250894,-1
2021-11-08,1.69941888,0.2664,1.89653616,0.2973,1.68666048,0.2644,1.79829648,0.2819,3420674489.0,3420674489.0,0.26381,0.240812,0.284612135,0.05818318318318294,0.13945028294260298,4.571884024169208,-1
2021-11-07,1.67007456,0.2618,1.72110816,0.2698,1.64838528,0.2584,1.69941888,0.2664,912146975.0,912146975.0,0.26286,0.24031000000000002,0.2848092605,0.01757066462948842,0.12026913372582015,4.531768213928262,-1
2021-11-06,1.66369536,0.2608,1.70707392,0.2676,1.5948,0.25,1.67007456,0.2618,1135857725.0,1135857725.0,0.26166,0.239876,0.285086863,0.0034495975469526208,0.10370994940978062,4.228418792750511,-1
2021-11-05,1.6777296,0.263,1.72812528,0.2709,1.62478224,0.2547,1.66433328,0.2609,1282376452.0,1282376452.0,0.260475,0.239494,0.285826878,-0.007984790874524639,0.11495726495726499,4.168711170280208,-1
2021-11-04,1.71536688,0.2689,1.72812528,0.2709,1.61967888,0.2539,1.6777296,0.263,1446957670.0,1446957670.0,0.259025,0.239186,0.2861235275,-0.021941242097433866,0.13118279569892466,4.269083900644712,-1
2021-11-03,1.74726288,0.2739,1.77086592,0.2776,1.6713504,0.262,1.71536688,0.2689,1607498166.0,1607498166.0,0.257205,0.23861999999999997,0.2861902935,-0.01825483753194601,0.1560619088564057,3.7348968412304036,-1
2021-11-02,1.73259072,0.2716,1.7925552,0.281,1.70069472,0.2666,1.74726288,0.2739,1912493294.0,1912493294.0,0.25514000000000003,0.237858,0.2866480105,0.008468335787923387,0.2114108801415302,4.747415866141236,-1
2021-11-01,1.786176,0.28,1.82827872,0.2866,1.67836752,0.2631,1.73259072,0.2716,2497093967.0,2497093967.0,0.252865,0.23742999999999997,0.28620181,-0.030000000000000027,0.17474048442906587,4.071355616675723,-1
2021-10-31,1.7160048,0.269,1.81934784,0.2852,1.6075584,0.252,1.786176,0.28,3857354566.0,3857354566.0,0.250425,0.23665,0.28540897449999997,0.040892193308550207,0.22377622377622397,3.998366605198659,-1
2021-10-30,1.83848544,0.2882,1.881864,0.295,1.6458336,0.258,1.7160048,0.269,3441001301.0,3441001301.0,0.248415,0.236064,0.2845359845,-0.06662040249826506,0.0903931901094448,3.965774919329233,-1
2021-10-29,1.91184624,0.2997,1.9584144,0.307,1.75555584,0.2752,1.83848544,0.2882,4977184874.0,4977184874.0,0.24634,0.23535,0.28344865599999997,-0.03837170503837173,0.18066366243342902,4.236857885268839,-1
2021-10-28,1.51761168,0.2379,2.168928,0.34,1.48252608,0.2324,1.91184624,0.2997,17320109431.0,17320109431.0,0.24356,0.23449,0.282321806,0.2597730138713745,0.23434925864909406,4.097016791073333,-1
2021-10-27,1.63179936,0.2558,1.68155712,0.2636,1.38364848,0.2169,1.51761168,0.2379,5223432326.0,5223432326.0,0.243805,0.23483600000000002,0.2814508895,-0.07033997655334123,-0.06375442739079096,3.804245668807946,-1
2021-10-26,1.69112592,0.2651,1.74981456,0.2743,1.6075584,0.252,1.63243728,0.2559,2132162373.0,2132162373.0,0.243715,0.235898,0.2804793285,-0.03470388532629187,0.01709062003179662,3.785324257610891,-1
2021-10-25,1.75874544,0.2757,1.7893656,0.2805,1.6490232,0.2585,1.69112592,0.2651,2939692178.0,2939692178.0,0.24304,0.23688199999999998,0.2794627475,-0.038098693759071156,0.09817729908864958,3.6920353982300886,-1
2021-10-24,1.60181712,0.2511,1.80658944,0.2832,1.56736944,0.2457,1.75810752,0.2756,4887922846.0,4887922846.0,0.24133,0.23735399999999998,0.27837863199999996,0.0975706889685386,0.24256086564472512,3.3970560784194843,-1
2021-10-23,1.56035232,0.2446,1.6203168,0.254,1.531008,0.24,1.60181712,0.2511,1258672648.0,1258672648.0,0.239865,0.238254,0.2774451555,0.026573998364676887,0.1491990846681921,2.790732255946136,-1
2021-10-22,1.546956,0.2425,1.62605808,0.2549,1.50038784,0.2352,1.56035232,0.2446,1553243637.0,1553243637.0,0.23856000000000002,0.239256,0.2765221515,0.009075907590759158,0.09883198562443862,2.5059304117246572,-1
2021-10-21,1.62542016,0.2548,1.64838528,0.2584,1.51952544,0.2382,1.54631808,0.2424,1573673715.0,1573673715.0,0.23757,0.24029399999999998,0.275597123,-0.04866562009419162,0.18707149853085214,2.4836095023209688,-1
2021-10-20,1.56545568,0.2454,1.6713504,0.262,1.54440432,0.2421,1.62542016,0.2548,1638568849.0,1638568849.0,0.23504,0.24076,0.2746006795,0.03830480847595763,0.28233517866129865,2.5119299488509736,-1
