date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-20,25019.139398,3924.14,25048.913917,3928.81,24814.543185,3892.05,25007.854409,3922.37,9500.5594,9500.5594,4147.2645,4316.5109999999995,3283.48855,-0.0004510542437323739,-0.11748373843803506,0.8348638015802103,1
2021-12-19,25247.325701,3959.93,25709.563951,4032.43,24763.2188,3884.0,25019.139398,3924.14,306006.323,306006.323,4173.284000000001,4324.4818,3277.3989500000002,-0.009038038551186456,-0.08630011316062758,0.8240275918488769,1
2021-12-18,24708.579051,3875.43,25483.226601,3996.93,24017.325657,3767.01,25247.325701,3959.93,339593.2543,339593.2543,4190.0265,4333.661,3270.7721500000002,0.02180666869655412,-0.03305260433327073,0.8560808815602605,1
2021-12-17,25242.097627,3959.11,25465.18337,3994.1,23590.09,3700.0,24708.515294,3875.42,463370.9225,463370.9225,4201.0199999999995,4341.8730000000005,3264.9258,-0.020891283971390395,-0.04102246857369096,0.8750187481554235,1
2021-12-16,25627.381178,4019.54,26225.995651,4113.43,25133.710727,3942.11,25235.721927,3958.11,368780.031,368780.031,4205.174499999999,4341.1508,3257.0651500000004,-0.015170138439642877,-0.12525056079207053,0.9025167511031214,1
2021-12-15,24603.762543,3858.99,26090.767054,4092.22,23231.329361,3643.73,25624.448356,4019.08,542068.0573,542068.0573,4230.463,4343.399600000001,3248.36345,0.04148494813409731,-0.058622369629171556,1.046927123918369,1
2021-12-14,24112.387344,3781.92,24755.185418,3882.74,23494.4545,3685.0,24603.762543,3858.99,395145.7462,395145.7462,4250.9815,4350.6272,3241.1289999999995,0.02037583984896596,-0.11071705104806151,0.8269916343545385,1
2021-12-13,26331.641,4130.0,26412.931175,4142.75,23408.063765,3671.45,24112.451101,3781.93,533467.2307,533467.2307,4278.857,4356.635200000001,3235.9305,-0.08427845036319614,-0.07441072744048538,0.7946122673651641,1
2021-12-12,26074.572776,4089.68,26609.812791,4173.63,25415.134125,3986.25,26331.641,4130.0,260535.5157,260535.5157,4276.6555,4357.3776,3229.7052000000003,0.009935515739588174,-0.030131671954366945,0.9896998106653692,1
2021-12-11,24854.455067,3898.31,26121.752956,4097.08,24407.582254,3828.22,26072.596309,4089.37,427853.4343,427853.4343,4285.1025,4355.0342,3222.7839000000004,0.049110555832054814,-0.07316127891717683,1.036011590623942,1
2021-12-10,26176.328948,4105.64,26976.096756,4231.08,24784.704909,3887.37,24852.096058,3897.94,563236.5671,563236.5671,4310.814,4358.135200000001,3216.5363500000003,-0.05058894593778318,-0.09239631551006344,0.826853947855593,1
2021-12-09,28288.407087,4436.91,28614.1416,4488.0,25988.373312,4076.16,26176.328948,4105.64,462173.711,462173.711,4320.2699999999995,4359.2454,3206.4900999999995,-0.07466232130018402,0.027206084715654777,1.0861461853103327,1
2021-12-08,27456.31448,4306.4,28374.989093,4450.49,26924.262315,4222.95,28288.407087,4436.91,429403.9351,429403.9351,4298.2695,4348.0478,3195.7799,0.030306056102544998,0.0347754093008068,1.31164913487238,1
2021-12-07,27718.802049,4347.57,28212.4725,4425.0,27134.469144,4255.92,27456.31448,4306.4,420749.751,420749.751,4297.3395,4336.8189999999995,3186.4028000000003,-0.009474214449844753,0.02295617802440031,1.339849820153657,1
2021-12-06,26755.242508,4196.44,27901.019555,4376.15,24999.1197,3921.0,27718.929563,4347.59,726742.9638,726742.9638,4290.448,4326.8042,3178.5079500000006,0.03601862531097799,-0.0473708198028826,1.3930722062595637,1
2021-12-05,26250.350825,4117.25,27085.184983,4248.19,25702.933223,4031.39,26755.242508,4196.44,536325.4413,536325.4413,4308.8150000000005,4319.4746,3169.7203499999996,0.01923371182221123,-0.09295579811952892,1.4875015560073739,1
2021-12-04,26873.639257,4215.01,27023.978263,4238.59,22338.412576,3503.68,26250.350825,4117.25,1111773.1451,1111773.1451,4334.2775,4314.5094,3166.00945,-0.023360129799583795,-0.11347937678176157,1.4040510793341232,1
2021-12-03,28763.014195,4511.35,29678.118416,4654.88,25710.01025,4032.5,26878.229761,4215.73,677974.8659,677974.8659,4355.705,4306.0112,3161.34335,-0.0654990567940753,-0.0963956394439135,1.481534458807186,1
2021-12-02,29219.514315,4582.95,29550.285631,4634.83,28263.4781,4433.0,28762.121597,4511.21,451861.9545,451861.9545,4363.4175000000005,4287.935399999999,3156.6978000000004,-0.015653672852638523,-0.04403263403263402,1.8448610743249207,1
2021-12-01,29521.084925,4630.25,30467.876375,4778.75,28843.603043,4523.99,29219.514315,4582.95,508198.3105,508198.3105,4370.22,4266.1056,3152.0164499999996,-0.010217568775835573,-0.00990109704933051,1.8972272796237295,1
2021-11-30,28337.053678,4444.54,30303.7021,4753.0,27711.087452,4346.36,29521.148682,4630.26,743024.4662,743024.4662,4370.146,4244.342799999999,3149.2401999999997,0.041788445572422894,-0.021568656454642787,1.7758021198024077,1
2021-11-29,27382.165089,4294.77,28428.736244,4458.92,27268.167573,4276.89,28336.989921,4444.53,406881.2284,406881.2284,4384.536,4223.7366,3145.6071,0.03486790941561613,-0.07559307651030156,1.644026960623925,1
2021-11-28,26110.340453,4095.29,27406.010207,4298.51,25273.2748,3964.0,27382.228846,4294.78,346471.3551,346471.3551,4410.196,4209.3374,3143.24925,0.04871205702160286,-0.06890055261794359,1.4087651011228393,1
2021-11-27,25765.47884,4041.2,26673.761062,4183.66,25683.487338,4028.34,26110.340453,4095.29,275326.5202,275326.5202,4436.061,4198.6942,3143.64005,0.013384638226269452,-0.09356131031429837,1.267476883893472,1
2021-11-26,28846.727136,4524.48,29015.8107,4551.0,24948.1141,3913.0,25765.47884,4041.2,720245.1612,720245.1612,4459.901,4189.6196,3143.1634500000005,-0.10688752113329736,-0.0967851523387212,1.2338179205129625,1
2021-11-25,27224.87657,4270.1,29009.435,4550.0,27085.695039,4248.27,28849.086145,4524.85,445868.2434,445868.2434,4457.3705,4170.6204,3140.1589499999995,0.05984269305001244,-0.0016481625304478609,1.5476611413900279,1
2021-11-24,27667.031365,4339.45,27886.929258,4373.94,26571.686105,4167.65,27220.158552,4269.36,448727.0306,448727.0306,4470.5185,4155.5386,3138.36345,-0.01614954925059453,-0.072553683730327,1.3411969861481263,1
