date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,2854.29,2889.2019,2835.76,2856.06,2856.06,2170235.0,0.0,1.0,2913.812,2816.649,3010.975,46.158,2916.4843,-1.3931,-6.0161,4.623,2921.718,2900.3514,2608.3957,1,-0.014053583819219395,-0.041989239376903464,0.6339950798100578
2021-12-16,2961.54,2971.03,2881.85,2896.77,2896.77,1369987.0,0.0,1.0,2921.718,2819.0617,3024.3743,49.0747,2922.8448,4.3639,-1.7631,6.1271,2925.9415,2897.3576000000003,2604.1573,1,-0.017167847945795733,-0.028425098607421706,0.6430913216108904
2021-12-15,2887.32,2950.345,2854.11,2947.37,2947.37,1364048.0,0.0,1.0,2925.9415,2820.8175,3031.0655,53.0316,2925.5895,7.5035,0.9356,6.5678,2927.6490000000003,2892.881,2599.554,1,0.016541296332702293,-0.013518488767504833,0.6672813771022248
2021-12-14,2895.4,2908.84,2844.85,2899.41,2899.41,1238940.0,0.0,1.0,2927.649,2820.1067,3035.1913,49.3546,2923.2968,6.2495,-0.0844,6.3339,2932.0665,2888.3988,2595.43615,1,-0.011819678332975592,-0.031240498377832937,0.6473358862766041
2021-12-13,2968.88,2971.25,2927.2,2934.09,2934.09,1205196.0,0.0,1.0,2932.0665,2822.2919,3041.8411,52.1597,2925.8112,9.4414,3.0863,6.355,2935.0075,2884.3019999999997,2591.17325,1,-0.013253741382209472,-0.0002964265271077071,0.6467276921263687
2021-12-10,2982.0,2988.0,2947.15,2973.5,2973.5,1081923.0,0.0,1.0,2935.0075,2822.0675,3047.9475,55.5692,2924.9397,9.8469,4.2634,5.5834,2933.0805,2878.1381999999994,2586.49005,1,0.0038418430043347662,0.013974329245836303,0.6748998777692035
2021-12-09,2963.52,2992.1,2950.58,2962.12,2962.12,929030.0,0.0,1.0,2933.0805,2821.5267,3044.6343,54.7579,2919.8281,6.2086,1.691,4.5176,2931.6005,2872.7041999999997,2581.83625,1,-0.0041319118749600925,-0.007655018308391659,0.6602601828342103
2021-12-08,2966.63,2983.13,2944.0,2974.41,2974.41,948197.0,0.0,1.0,2931.6005,2820.8445,3042.3565,55.8033,2915.3764,2.6333,-1.4616,4.0948,2932.1285000000003,2867.6895999999997,2577.44005,1,0.004620482110830659,-0.004224932457993491,0.6355942921558384
2021-12-07,2919.0,2966.0,2914.05,2960.73,2960.73,1162914.0,0.0,1.0,2932.1285,2820.4642,3043.7928,54.8927,2909.1623,-3.2199,-7.6801,4.4602,2933.4435000000003,2865.0754,2572.9907,1,0.029486114057018176,-0.008070838442519213,0.627239650889265
2021-12-06,2871.48,2887.03,2812.94,2875.93,2875.93,1109885.0,0.0,1.0,2933.4435,2819.86,3047.027,48.6641,2903.7341,-9.2509,-15.6311,6.3802,2938.888,2864.6100000000006,2568.93545,1,0.00895309797537891,-0.032865223327481985,0.5732744708669084
2021-12-03,2889.91,2904.2599,2823.0,2850.41,2850.41,1334374.0,0.0,1.0,2938.888,2826.4202,3051.3558,46.5541,2906.6609,-8.1799,-18.4679,10.288,2945.0505000000003,2864.3324000000007,2565.1891,1,-0.008735780882133115,-0.02908576878533975,0.5603551623904486
2021-12-02,2836.48,2893.5,2819.64,2875.53,2875.53,1062535.0,0.0,1.0,2945.0505,2839.347,3050.754,48.4149,2912.582,-4.0955,-19.0005,14.905,2948.064,2863.1972000000005,2561.39745,1,0.015241706562725055,-0.014304518623640017,0.5730900735796931
2021-12-01,2884.25,2929.9825,2830.0,2832.36,2832.36,1427289.0,0.0,1.0,2948.064,2847.1313,3048.9967,44.8137,2916.4822,-1.3805,-21.0356,19.6551,2952.309,2862.4085999999998,2557.8772,1,-0.005854603655968238,-0.014995757230097162,0.575196040264724
2021-11-30,2909.005,2932.57,2841.32,2849.04,2849.04,2079526.0,0.0,1.0,2952.309,2864.9727,3039.6453,45.9922,2925.3372,6.5004,-18.4136,24.914,2953.631,2861.0345999999995,2554.2415,1,-0.02506262233598433,-0.03924246562869882,0.618092392971137
2021-11-29,2885.97,2937.24,2885.97,2922.28,2922.28,1313806.0,0.0,1.0,2953.631,2871.9715,3035.2905,51.6593,2933.3685,14.7664,-14.751,29.5175,2955.7875,2859.1744,2550.15065,1,0.023164292816828524,-0.0001026490292822535,0.629654414758057
2021-11-26,2900.31,2905.9404,2849.71,2856.12,2856.12,849606.0,0.0,1.0,2955.7875,2875.2838,3036.2912,45.9433,2934.5357,17.645,-15.5602,33.2052,2959.1105,2859.8014000000003,2546.3495000000003,1,-0.02666007804113346,-0.024732376090556896,0.6123245061899143
2021-11-24,2927.0,2940.0,2903.98,2934.35,2934.35,823203.0,0.0,1.0,2959.1105,2890.7694,3027.4516,52.9804,2942.79,27.7987,-9.2966,37.0953,2958.8205000000003,2859.1967999999997,2542.15465,1,-0.00026915240840297283,0.050443181167306284,0.6588745420831259
2021-11-23,2942.26,2953.88,2897.79,2935.14,2935.14,906657.0,0.0,1.0,2958.8205,2890.014,3027.627,53.0584,2943.6784,32.3889,-7.0306,39.4194,2951.7355,2857.8564,2537.8965,1,-0.0021859075255731275,0.05753280537280303,0.6918598618908731
2021-11-22,3002.8352,3014.89,2940.11,2941.57,2941.57,1231385.0,0.0,1.0,2951.7355,2852.2793,3051.1917,53.6691,2944.5772,37.6961,-3.481,41.1771,2943.43,2856.4109999999996,2533.6532,1,-0.019166069255264206,0.060981064021641274,0.6884323753436767
2021-11-19,3020.0,3037.0,2997.75,2999.05,2999.05,989148.0,0.0,1.0,2943.43,2817.694,3069.166,59.4833,2944.8937,43.267,1.2197,42.0473,2932.1025,2853.1984,2529.14795,1,-0.005019607322721109,0.05023094890408708,0.7002188307859767
2021-11-18,2982.92,3032.2,2979.97,3014.18,3014.18,1334120.0,0.0,1.0,2932.1025,2788.851,3075.354,61.1396,2939.193,43.8958,2.1534,41.7424,2924.174,2850.8801999999996,2524.3889,1,0.011049093665723042,0.05823824737562755,0.7255636084681527
2021-11-17,2984.58,2992.52,2971.26,2981.24,2981.24,764541.0,0.0,1.0,2924.174,2782.4262,3065.9218,58.7649,2931.2997,42.5192,1.3152,41.204,2917.527,2849.2088,2519.83305,1,-9.391183020746041e-05,0.0364339252687349,0.6841736575996382
2021-11-16,2983.41,2996.65,2967.0,2981.52,2981.52,862743.0,0.0,1.0,2917.527,2774.6432,3060.4108,58.7939,2926.0428,43.4977,2.6225,40.8752,2912.273,2847.7860000000005,2514.563,1,-0.0020885211663588255,0.04277755044225495,0.673713637741526
2021-11-15,3000.0,3009.54,2973.05,2987.76,2987.76,812367.0,0.0,1.0,2912.273,2771.4754,3053.0706,59.4149,2920.2031,44.0854,3.8658,40.2196,2905.8455,2845.9408000000003,2509.13095,1,-0.0017207333331105135,0.054441503440974204,0.6813316676233245
