date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,389.21,393.67,380.63,381.8,381.8,7067987.0,0.0,1.0,389.753,404.1779,375.328,44.5143,391.2946,-2.3684,0.1792,-2.1892,390.128060558,397.94738300574005,373.890133900525,1,-0.0391826257644009,-0.019720950596809894,0.5891944802734017
2021-12-16,395.13,399.84,391.8001,397.37,397.37,3578189.0,0.0,1.0,390.1281,404.0889,376.1672,51.7022,392.2941,-2.4132,0.8859,-1.5273,389.73360727115,397.71997159166006,373.52769242251003,1,0.019132620348285556,-0.008953396633955668,0.6584808098154951
2021-12-15,389.5,391.4,380.598,389.91,389.91,2802320.0,0.0,1.0,389.7336,403.2938,376.1734,47.8708,391.7598,-2.6347,0.3892,-2.2455,390.28610494605,397.59719691399994,373.227906891545,1,0.0028033537369478445,-0.03169055830869871,0.6363403657922573
2021-12-14,383.56,392.5,383.26,388.82,388.82,2788459.0,0.0,1.0,390.2861,404.7034,375.8688,47.2904,391.9545,-2.732,0.362,-2.3699,390.9786481716,397.26425453395996,372.916354968515,1,0.010867304492512497,-0.03463595709837597,0.6636066231730944
2021-12-13,391.19,391.19,382.66,384.64,384.64,2313256.0,0.0,1.0,390.9786,406.347,375.6103,45.062,392.2844,-2.8225,0.4391,-2.3833,391.88516497565,397.13129389138,372.620671320585,1,-0.016416918119981583,-0.038913980922097524,0.6306356462808338
2021-12-10,398.0,398.86,388.66,391.06,391.06,1893761.0,0.0,1.0,391.8852,407.7808,375.9895,48.0245,393.0891,-2.9322,0.9921,-1.9402,392.34286081165,396.83074145004,372.23543782467493,1,-0.01369517516204699,-0.014989340766444093,0.6279378698082803
2021-12-09,395.7,400.1899,393.0,396.49,396.49,2111459.0,0.0,1.0,392.3429,408.6392,376.0465,50.7027,393.3027,-3.1803,1.1803,-2.0,392.36890741915,396.55806400342,371.86374592339996,1,-0.002088996275042776,-0.016661402571066297,0.6612822130446983
2021-12-08,401.23,401.71,395.14,397.32,397.32,1635227.0,0.0,1.0,392.3689,408.6933,376.0445,51.1167,392.9672,-3.4753,0.8752,-2.6001,392.6633079687,396.36049934478,371.50205762025996,1,-0.006973082402339403,-0.02181831382594146,0.6925012416328211
2021-12-07,393.58,401.75,393.06,400.11,400.11,2440999.0,0.0,1.0,392.6633,409.5374,375.7892,52.4851,392.509,-3.6941,0.2813,-3.4128,392.96691851615,396.3122450645,371.070247224525,1,0.02776778833804272,-0.01190053248360523,0.7071736969227558
2021-12-06,388.67,393.5999,383.49,389.3,389.3,1990217.0,0.0,1.0,392.9669,410.5688,375.365,47.2914,391.7089,-3.7644,-0.92,-4.6845,393.7483619742,396.30193772990003,370.68098703031,1,0.01716614845974962,-0.04092899613515899,0.6532155242849336
2021-12-03,389.88,389.88,379.03,382.73,382.73,2807501.0,0.0,1.0,393.7484,412.0052,375.4915,43.7408,391.9624,-3.5344,-1.6044,-5.1388,394.90754385965,396.44312365254,370.318433781345,1,-0.012411622026113456,-0.07929360541977959,0.6536841096859398
2021-12-02,378.0,389.09,376.03,387.54,387.54,3343716.0,0.0,1.0,394.9075,413.1629,376.6522,45.8908,392.9343,-3.1333,-1.8417,-4.9751,396.31512851405,396.36098490808,369.90371991386496,1,0.029377390565235917,-0.08080982710500828,0.6591068177325383
2021-12-01,383.82,390.16,376.21,376.48,376.48,2477444.0,2.0,1.0,396.3151,416.3369,376.2934,39.3821,393.5021,-2.6729,-2.5105,-5.1834,398.57164109065,396.30846391886,369.55826306676994,1,-0.006588099424233773,-0.09172066234650367,0.6504403232902889
2021-11-30,383.53,386.83,377.26,380.99,378.976736419,4570434.0,0.0,1.0,398.5716,419.3029,377.8404,40.4249,395.2939,-2.0453,-2.2026,-4.2478,400.3477059818,396.25156618053995,369.19648927141503,1,-0.014358151810072828,-0.07828716584156414,0.6812001248345114
2021-11-29,394.0,396.37,382.45,386.54,384.497408582,2883431.0,0.0,1.0,400.3477,420.1241,380.5713,42.8059,397.0115,-1.4946,-1.7515,-3.2461,401.68112238425,396.3494462059,368.779394652235,1,-0.007319140193537854,-0.06817414782247411,0.6707653333267398
2021-11-26,384.48,391.71,382.715,389.39,387.332348341,2687915.0,0.0,1.0,401.6811,420.5796,382.7826,44.0723,398.3288,-1.0568,-1.4257,-2.4825,402.94590340305,396.49447575568,368.328467559075,1,-0.024549713168500964,-0.0525560232599932,0.6749724701273017
2021-11-24,405.0,407.48,398.3,399.19,397.080562249,2186259.0,0.0,1.0,402.9459,421.2091,384.6827,48.7872,399.4863,-0.7003,-1.0599,-1.7603,403.53278566894994,396.5493840626,367.838431706215,1,-0.017596101786162,-0.04410813917356138,0.7101866467337259
2021-11-23,400.25,406.9559,397.51,406.34,404.192779539,2405701.0,0.0,1.0,403.5328,421.7587,385.3069,52.6944,399.7395,-0.4354,-1.3701,-1.8055,404.0933079687,396.49666413024005,367.294061591605,1,0.025696688206444662,-0.02027727546853897,0.8067750611355662
2021-11-22,393.16,402.49,390.18,396.16,394.066573663,3059658.0,0.0,1.0,404.0933,423.0411,385.1455,46.9475,399.2707,-0.0928,-2.4682,-2.561,405.01789621644997,396.75727964494,366.79879902879503,1,0.02263868452929696,-0.04383085537879927,0.8047295854430734
2021-11-19,382.38,390.24,381.04,387.39,385.342916931,2611891.0,0.0,1.0,405.0179,423.7215,386.3143,41.0904,399.8186,0.5242,-2.9814,-2.4571,406.35728091315,397.07737915878005,366.31447369840004,1,-0.010169404909421864,-0.049559606466133665,0.7551900103858264
2021-11-18,392.3,393.9202,385.68,391.37,389.301885436,1848941.0,0.0,1.0,406.3573,422.9509,389.7637,43.1439,401.3423,1.2696,-2.6701,-1.4005,407.16399534985,397.34018304804,365.81158213643,1,-0.00045971140368861185,-0.040501115498385865,0.7753571371413932
2021-11-17,401.85,402.65,391.47,391.55,389.480934263,2926990.0,0.0,1.0,407.164,421.8179,392.5101,43.2367,402.6097,1.9371,-2.3718,-0.4347,407.9766780808,397.60776157268,365.28224022258,1,-0.028628842194479365,-0.05000485248566766,0.7734064230207855
2021-11-16,403.91,405.84,399.0,403.09,400.959953498,1310951.0,0.0,1.0,407.9767,420.2227,395.7307,49.758,403.9917,2.53,-1.7438,0.7862,408.427781653,397.75159746362,364.68773839135997,1,-0.00424890689590296,-0.025623051076421488,0.8443093584465207
2021-11-15,406.0,407.34,403.9149,404.81,402.670864511,1436452.0,0.0,1.0,408.4278,420.2645,396.5911,50.8438,404.3108,2.966,-1.8017,1.1643,408.86943542595,397.88091050526003,364.024529213005,1,-0.00024696846090466185,-0.0031029132903023227,0.8800784514338595
2021-11-12,403.0,405.1,399.2,404.91,402.770336081,1345091.0,0.0,1.0,408.8694,420.4708,397.2681,50.9052,404.4835,3.4164,-1.9606,1.4558,408.92712893684995,398.07169697746,363.343327256885,1,0.006387632349098338,0.035046012268567184,0.9206066640804005
2021-11-11,400.14,403.76,398.51,402.34,400.21391672,1252402.0,0.0,1.0,408.9271,420.4176,397.4367,49.4148,404.6638,3.9066,-2.1101,1.7965,408.37307228919997,398.29690061303995,362.693828006185,1,0.008067749048255024,0.04149517227106436,0.8774336268621774
2021-11-10,402.33,405.55,397.245,399.12,397.01093215,2243941.0,0.0,1.0,408.3731,422.3008,394.4454,47.5185,405.1322,4.4341,-1.9686,2.4655,407.7359568802,398.5831797929201,362.05203826831996,1,-0.015369433820942469,0.03257185729434475,0.8673752919452973
2021-11-09,406.11,407.584,400.06,405.35,403.208010991,2093873.0,0.0,1.0,407.736,424.5509,390.921,51.035,405.9871,4.9263,-1.3166,3.6096,406.7999294019,398.70770215484004,361.420691897455,1,-0.007322329432032815,0.05220122521019133,0.9189365298022192
2021-11-08,409.89,413.65,407.96,408.34,406.182210949,1728354.0,0.0,1.0,406.7999,426.3764,387.2235,52.8171,406.2796,5.2554,-0.8689,4.3865,405.6510327627,398.893313721,360.78076501486,1,0.003095214699304849,0.03953565336803,1.0643908610413604
2021-11-05,411.4,414.45,406.1,407.08,404.928869161,2105586.0,0.0,1.0,405.651,427.7696,383.5325,52.1482,406.2898,5.4726,-0.4612,5.0114,404.94130310725006,398.95985863839996,360.17831155931003,1,-0.0024260543537242274,0.04213813936799404,1.0407827906862508
2021-11-04,414.65,415.99,403.028,408.07,405.913637709,3802336.0,0.0,1.0,404.9413,427.9981,381.8845,52.7059,406.4331,5.588,0.2759,5.8638,404.07341365469995,399.02076515927996,359.570835972145,1,-0.0235223737726461,0.051591289783304184,1.098370566975134
2021-11-03,423.115,424.0,412.56,417.9,415.691693088,3542395.0,0.0,1.0,404.0734,428.2003,379.9465,58.6202,406.4878,5.519,1.2472,6.7662,402.5888004651,398.79582915922003,358.91987599626003,1,-0.014037985135545883,0.08317565641109903,1.1482668070171314
2021-11-02,415.1,426.1582,412.79,423.85,421.610251532,2885810.0,0.0,1.0,402.5888,427.3199,377.8577,62.6636,405.5189,5.2072,1.6168,6.824,400.69685119434996,398.3117542602,358.257654103515,1,0.017158627309309837,0.13283442469379092,1.2674052433328273
2021-11-01,417.07,418.73,413.248,416.7,414.498034242,1731493.0,0.0,1.0,400.6969,425.1052,376.2885,59.4724,403.8251,4.803,1.3928,6.1958,398.58059353215,397.85944776694,357.664460659475,1,0.008104511913624268,0.0965789473692169,1.242834683881994
2021-10-29,414.02,415.96,411.18,413.35,411.165736631,2061716.0,0.0,1.0,398.5806,425.085,372.0762,57.8695,402.7017,4.4548,1.5733,6.0281,396.92190509415,397.4282505481,357.121641787935,1,-0.0035437057030974772,0.0934317382219143,1.2142618624878891
2021-10-28,412.0,414.92,409.06,414.82,412.627968717,1444653.0,0.0,1.0,396.9219,424.2089,369.6349,58.8396,401.8107,4.0615,2.0042,6.0657,395.09212555495,397.07135513314,356.54728354804996,1,0.009318961532249315,0.07776247758985688,1.224127097206885
2021-10-27,416.55,418.06,410.55,410.99,408.818207567,2067219.0,0.0,1.0,395.0921,422.8252,367.359,57.0579,400.6721,3.5604,2.3161,5.8765,393.79402156005006,396.91281202901996,355.9883865699401,1,-0.015852110822045185,0.05517329910187052,1.1370382081221653
2021-10-26,416.37,419.81,413.76,417.61,415.403225534,1843341.0,0.0,1.0,393.794,421.2649,366.3232,61.4239,399.8146,2.9814,2.9561,5.9375,392.39594863674995,396.68948768335997,355.35538146297995,1,0.006895720313228715,0.044521147545933504,1.1125155555032014
2021-10-25,416.21,419.49,413.27,414.75,412.558338618,1824667.0,0.0,1.0,392.3959,418.1157,366.6762,60.1731,398.1736,2.2424,3.0161,5.2584,391.65289600514996,396.57117156604,354.718171626365,1,0.0010378451435633096,0.061148778304439544,1.058141705893033
2021-10-22,409.99,415.36,409.1,414.32,412.130610865,2411032.0,0.0,1.0,391.6529,415.811,367.4948,59.9878,396.6595,1.4884,3.1166,4.6049,390.4855971254,396.54495990828,354.090816105275,1,0.016511690671669133,0.057316388507072435,1.052404368911449
2021-10-21,406.8,412.66,404.615,407.59,405.43617417,2162127.0,0.0,1.0,390.4856,412.7554,368.2158,57.0141,395.0309,0.7092,3.0382,3.7474,389.7032532235,396.63066058774,353.466954660505,1,-0.0007354924134574947,0.057384491659752346,1.0438430432144021
2021-10-20,411.0,414.33,406.195,407.89,405.734588882,2453437.0,0.0,1.0,389.7033,410.8902,368.5163,57.1941,393.9356,-0.0503,3.3303,3.28,388.58817691825,396.593185524,352.76975197387003,1,-0.010360054347750669,0.08527564921284503,0.9950076287878555
2021-10-19,415.18,415.85,409.69,412.16,409.982024942,2568325.0,0.0,1.0,388.5882,408.5976,368.5788,59.7446,392.6936,-0.8829,3.4882,2.6053,386.78177319810004,396.31059142454,352.02216945521997,1,-0.003698421522065898,0.08999550419281888,1.0388258667256736
