date,open,high,low,orig_close,close,volume,dividend,split,Real Upper Band,Real Lower Band,Real Middle Band,RSI,EMA,MACD_Hist,MACD,MACD_Signal
2021-08-10,198.24,199.49,197.7,199.25,199.25,1598458.0,0.0,1.0,202.8843,195.9877,199.436,50.6018,198.8663,-0.1418,-0.2631,-0.1213
2021-08-09,197.65,198.1493,196.78,197.43,197.43,1193358.0,0.0,1.0,202.9014,196.0056,199.4535,47.38,198.8259,-0.257,-0.3428,-0.0858
2021-08-06,198.18,199.25,197.55,198.13,198.13,1116232.0,0.0,1.0,202.9066,196.2554,199.581,48.5367,198.9728,-0.2328,-0.2543,-0.0216
2021-08-05,198.55,199.12,197.285,197.8,197.8,1575275.0,0.0,1.0,203.0349,196.4141,199.7245,47.9678,199.0615,-0.2456,-0.209,0.0366
2021-08-04,200.4,200.81,197.2,197.53,197.53,2057158.0,0.0,1.0,203.0097,196.4863,199.748,47.5168,199.1943,-0.2124,-0.1144,0.098
2021-08-03,198.54,202.21,197.4,201.03,201.03,2208429.0,0.0,1.0,202.9634,196.7656,199.8645,53.1941,199.3695,-0.1157,0.0355,0.1511
2021-08-02,199.07,200.7,197.435,197.52,197.52,1332499.0,0.0,1.0,202.9635,196.3515,199.6575,47.1819,199.1947,-0.3102,-0.1301,0.1801
2021-07-30,198.0,199.24,197.2,197.94,197.94,1910332.0,0.0,1.0,202.9336,196.6184,199.776,47.881,199.371,-0.2399,0.0177,0.2576
2021-07-29,200.0,200.0,197.94,198.17,198.17,2104000.0,0.0,1.0,202.8957,196.7713,199.8335,48.253,199.5217,-0.1541,0.1635,0.3176
2021-07-28,199.32,200.37,198.1,198.28,198.28,2139174.0,0.0,1.0,202.875,196.838,199.8565,48.4239,199.6639,-0.0324,0.3237,0.3561
2021-07-27,197.21,201.06,194.91,200.47,200.47,3000044.0,0.0,1.0,203.134,196.354,199.744,51.901,199.8096,0.1481,0.5123,0.3642
2021-07-26,200.45,202.74,199.93,201.67,201.67,2409242.0,0.0,1.0,203.197,195.894,199.5455,53.9164,199.7401,0.1955,0.5226,0.3271
2021-07-23,200.51,201.0386,198.94,200.49,200.49,1570761.0,0.0,1.0,203.2678,195.1312,199.1995,52.1818,199.537,0.1277,0.406,0.2783
2021-07-22,201.51,201.65,198.6776,199.07,199.07,1700693.0,0.0,1.0,203.6078,194.0682,198.838,50.0317,199.4366,0.125,0.3713,0.2463
2021-07-21,201.13,202.88,199.96,200.77,200.77,1999082.0,0.0,1.0,204.0417,192.9633,198.5025,52.7282,199.4752,0.2512,0.4663,0.2151
2021-07-20,198.34,202.22,198.07,200.82,200.82,2783406.0,0.0,1.0,203.8423,192.5997,198.221,52.8077,199.3389,0.2553,0.4076,0.1523
2021-07-19,197.79,198.54,195.11,197.56,197.56,3146307.0,0.0,1.0,203.5749,192.3061,197.9405,47.9449,199.183,0.2332,0.3217,0.0885
2021-07-16,203.12,203.21,198.91,199.37,199.37,2474180.0,0.0,1.0,203.9197,191.3653,197.6425,50.7005,199.3539,0.5091,0.5393,0.0302
2021-07-15,201.43,202.77,200.53,202.59,202.59,2138698.0,0.0,1.0,203.746,191.116,197.431,56.155,199.3522,0.722,0.6249,-0.0971
2021-07-14,200.58,203.18,200.01,202.83,202.83,2457764.0,0.0,1.0,203.0026,191.2914,197.147,56.5861,199.0114,0.6748,0.3972,-0.2776
2021-07-13,200.09,201.13,199.15,199.6,199.6,1688293.0,0.0,1.0,202.5295,191.5425,197.036,51.8616,198.6094,0.5227,0.0764,-0.4463
2021-07-12,198.1,201.46,197.9,199.98,199.98,2163956.0,0.0,1.0,202.8312,191.4168,197.124,52.5001,198.5052,0.5716,-0.0053,-0.5769
2021-07-09,199.7,201.9,199.25,201.0,201.0,2446141.0,0.0,1.0,203.375,191.156,197.2655,54.2019,198.3499,0.5716,-0.1483,-0.7198
2021-07-08,198.5,199.55,197.3201,198.27,198.27,2167219.0,0.0,1.0,203.804,190.94,197.372,50.0883,198.0709,0.4304,-0.4324,-0.8627
2021-07-07,196.13,200.06,196.13,199.86,199.86,1695276.0,0.0,1.0,204.4345,190.7565,197.5955,52.7077,198.05,0.4596,-0.5108,-0.9703
2021-07-06,196.41,197.78,194.76,196.89,196.89,2546509.0,0.0,1.0,205.048,190.516,197.782,47.8699,197.8595,0.32,-0.7653,-1.0852
2021-07-02,198.73,200.2927,197.94,199.89,199.89,1612960.0,0.0,1.0,205.8209,190.4271,198.124,53.0804,197.9615,0.3886,-0.7766,-1.1652
2021-07-01,199.45,199.67,197.75,199.09,199.09,1857920.0,0.0,1.0,206.8465,190.0175,198.432,51.75,197.7585,0.1772,-1.0852,-1.2624
2021-06-30,195.9,198.98,195.54,198.63,198.63,2592085.0,0.0,1.0,207.3785,189.9435,198.661,50.9908,197.6184,-0.0751,-1.3818,-1.3067
2021-06-29,196.2,197.83,195.715,196.03,196.03,1858052.0,0.0,1.0,207.8418,189.9462,198.894,46.4684,197.5119,-0.4056,-1.6935,-1.2879
2021-06-28,195.76,196.92,194.39,196.5,196.5,2100532.0,0.0,1.0,208.2867,190.2183,199.2525,47.2166,197.6679,-0.6155,-1.802,-1.1865
2021-06-25,193.42,195.33,193.3,194.75,194.75,6175572.0,0.0,1.0,208.6648,190.4942,199.5795,44.0286,197.7908,-0.9295,-1.9621,-1.0326
2021-06-24,193.3,193.74,191.635,193.26,193.26,2191952.0,0.0,1.0,208.9392,191.0688,200.004,41.1538,198.1109,-1.1595,-1.9597,-0.8002
2021-06-23,194.8,195.4221,192.28,192.36,192.36,2976477.0,0.0,1.0,208.8191,192.0209,200.42,39.3668,198.6215,-1.2661,-1.7765,-0.5104
2021-06-22,194.75,196.05,194.1,195.14,195.14,1772643.0,0.0,1.0,208.4381,193.3369,200.8875,43.2181,199.2806,-1.2313,-1.4251,-0.1938
2021-06-21,193.59,196.6255,193.59,195.21,195.21,2528476.0,0.0,1.0,208.3631,194.1589,201.261,43.3195,199.7164,-1.3529,-1.239,0.114
2021-06-18,193.04,193.57,191.53,191.6,191.6,5054614.0,0.0,1.0,208.1316,195.0554,201.5935,35.9599,200.1908,-1.4427,-0.9905,0.4522
2021-06-17,196.8,197.5,193.0,195.14,195.14,2584863.0,0.0,1.0,206.7611,197.4309,202.096,40.9081,201.0951,-1.1043,-0.2914,0.8129
2021-06-16,200.57,200.99,196.8102,196.91,196.91,2172663.0,0.0,1.0,205.8473,198.9431,202.3952,43.7689,201.722,-0.8442,0.2448,1.089
2021-06-15,201.8,201.86,199.53,200.61,200.61,1709935.0,0.0,1.0,205.0411,200.2134,202.6272,50.8277,202.2285,-0.5547,0.7453,1.3
2021-06-14,202.29,203.59,200.42,201.36,201.36,1745910.0,0.0,1.0,205.0398,200.5152,202.7775,52.4568,202.3988,-0.4421,0.9966,1.4387
2021-06-11,203.76,204.9,201.52,202.81,202.81,1696294.0,0.0,1.0,205.0209,200.6872,202.8541,55.738,202.5082,-0.3227,1.2265,1.5492
2021-06-10,204.15,204.97,202.78,203.13,203.13,1953085.0,0.0,1.0,205.0142,200.6057,202.81,56.4787,202.4764,-0.2755,1.3544,1.6299
2021-06-09,203.56,203.57,201.94,202.74,202.74,1707580.0,0.0,1.0,205.737,199.312,202.5245,55.7986,202.4076,-0.2333,1.4654,1.6987
2021-06-08,202.0,204.04,201.14,203.59,203.59,1701413.0,0.0,1.0,205.7126,199.286,202.4993,57.6642,202.3726,-0.1316,1.6255,1.7571
2021-06-07,206.35,206.8063,203.31,203.73,203.73,1531166.0,0.0,1.0,206.1096,199.1119,202.6108,57.9675,202.2445,-0.0704,1.7196,1.79
2021-06-04,204.11,206.12,203.77,206.05,206.05,1868562.0,0.0,1.0,205.99,199.0175,202.5038,63.2,202.0881,-0.0071,1.8005,1.8076
2021-06-03,202.5,204.67,201.81,203.67,203.67,1902070.0,0.0,1.0,205.3896,199.1065,202.248,59.6504,201.6711,-0.1681,1.6413,1.8094
2021-06-02,203.73,203.97,202.36,203.29,203.29,1877461.0,0.0,1.0,205.2825,198.8438,202.0632,59.0513,201.4607,-0.1948,1.6565,1.8514
2021-06-01,204.98,205.0876,202.5527,203.2,203.2,1567288.0,0.0,1.0,205.4277,198.1623,201.795,58.9141,201.2681,-0.2095,1.6906,1.9001
