date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal
2021-12-16,311.52,311.6,280.93,283.87,283.87,70736595.0,0.0,1.0,281.5106,311.567,341.6235,48.4714,301.1194,8.1139,2.0686,-6.0453
2021-12-15,284.0,305.0,278.38,304.59,304.59,69829688.0,0.0,1.0,283.3427,312.0022,340.6617,54.0768,302.9351,9.6252,3.9275,-5.6977
2021-12-14,276.99,286.78,272.5,283.37,283.37,66703537.0,0.0,1.0,283.0564,311.8723,340.6881,48.2548,302.7609,11.0496,4.1333,-6.9163
2021-12-13,302.49,302.94,281.16,281.61,281.61,59834366.0,0.0,1.0,286.404,312.7144,339.0247,47.7327,304.8021,12.7787,6.4965,-6.2822
2021-12-10,311.5,313.05,298.61,301.98,301.98,48882509.0,0.0,1.0,291.2557,313.8269,336.3982,53.6891,307.2434,14.3492,9.5974,-4.7518
2021-12-09,317.34,322.05,304.28,304.9,304.9,48850716.0,0.0,1.0,291.5331,313.921,336.3089,54.6172,307.7974,15.5372,11.3418,-4.1954
2021-12-08,319.99,322.9,314.2101,318.26,318.26,47555145.0,0.0,1.0,289.7626,313.4036,337.0447,59.0546,308.1024,16.5861,13.1059,-3.4802
2021-12-07,309.57,324.49,306.51,324.27,324.27,59305348.0,0.0,1.0,289.1053,312.8172,336.529,61.1788,307.0332,17.4561,13.8066,-3.6495
2021-12-06,298.8,302.41,280.38,300.37,300.37,65893845.0,0.0,1.0,288.8086,312.0037,335.1988,55.0738,305.2188,18.3685,13.8883,-4.4802
2021-12-03,320.0,321.29,301.3,306.93,306.93,54432505.0,0.0,1.0,288.3426,311.8593,335.376,57.4287,305.7292,19.4885,16.2239,-3.2646
2021-12-02,312.14,324.7799,310.25,321.26,321.26,47289033.0,0.0,1.0,287.2051,311.4114,335.6177,63.0208,305.6028,20.3046,18.3012,-2.0035
2021-12-01,332.1947,332.8934,313.8,314.35,314.35,48580204.0,0.04,1.0,277.8339,308.6457,339.4575,61.2943,303.9547,20.8055,19.2272,-1.5783
2021-11-30,331.69,333.53,318.6401,326.76,326.718426159,62206647.0,0.0,1.0,269.8427,306.127,342.4114,66.5803,302.8604,21.2001,20.8331,-0.367
2021-11-29,323.66,334.12,320.36,333.76,333.717535545,45496398.0,0.0,1.0,262.1623,302.703,343.2436,69.8172,300.349,21.2918,21.3204,0.0285
2021-11-26,326.0,327.1,313.5,315.03,314.989918572,28306886.0,0.0,1.0,255.9827,298.799,341.6152,65.5613,296.8366,21.2847,20.9196,-0.3651
2021-11-24,314.61,328.55,309.28,326.74,326.698428703,43516226.0,0.0,1.0,248.3354,295.5184,342.7014,71.5537,294.9257,21.376,22.0106,0.6346
2021-11-23,315.35,323.6,308.8,317.46,317.419609402,53216270.0,0.0,1.0,241.5556,291.4074,341.2592,69.4516,291.5812,21.2173,21.8908,0.6735
2021-11-22,335.17,346.47,319.0,319.56,319.519342218,75433524.0,0.0,1.0,236.0048,287.8934,339.782,70.5727,288.8613,21.049,22.3643,1.3154
2021-11-19,322.43,330.88,319.05,329.85,329.808033016,53386665.0,0.0,1.0,228.288,283.4989,338.7098,76.3068,285.6342,20.7201,22.4295,1.7094
2021-11-18,323.67,327.6,313.21,316.75,316.709699736,78171075.0,0.0,1.0,222.269,278.3701,334.4712,73.7249,280.9843,20.2928,21.139,0.8462
2021-11-17,304.18,305.09,288.0,292.61,292.572771081,42850799.0,0.0,1.0,216.4101,273.8791,331.3482,67.5305,277.2237,20.0812,20.5179,0.4367
2021-11-16,297.59,303.9,297.0587,302.03,301.991572569,26448367.0,0.0,1.0,209.1387,270.3006,331.4625,73.9976,275.6081,19.972,21.8843,1.9123
2021-11-15,305.52,306.44,292.47,300.25,300.211799039,38490900.0,0.0,1.0,203.6771,266.3446,329.0121,73.5427,272.8308,19.494,22.3511,2.8571
2021-11-12,300.1,306.8,296.3,303.9,303.861334648,41026129.0,0.0,1.0,198.9862,262.4436,325.901,76.137,269.9486,18.7797,22.8029,4.0232
2021-11-11,304.68,305.9,297.7701,303.9,303.861334648,33217211.0,0.0,1.0,194.9691,258.1801,321.3912,76.137,266.3789,17.7739,22.6763,4.9024
2021-11-10,293.56,308.5,287.78,294.59,294.552519164,63620572.0,0.0,1.0,191.926,253.8587,315.7914,74.028,262.4334,16.5483,22.1849,5.6367
2021-11-09,322.82,323.1,299.64,306.57,306.530994943,64216853.0,0.0,1.0,187.7296,249.5992,311.4689,82.995,259.0524,15.1391,22.1829,7.0437
2021-11-08,301.49,311.0,299.07,308.04,308.000807914,50310093.0,0.0,1.0,185.8849,244.6069,303.3288,84.1837,254.0547,13.3782,20.638,7.2598
2021-11-05,301.87,314.0,294.1,297.52,297.482146379,85126015.0,0.0,1.0,186.3896,239.553,292.7164,82.4774,248.3761,11.5633,18.2162,6.653
2021-11-04,272.29,313.65,271.18,298.01,297.972084036,115363115.0,0.0,1.0,187.4362,235.0931,282.75,82.873,243.2071,9.9,15.9313,6.0313
2021-11-03,266.7,267.84,262.35,265.98,265.946159229,23991033.0,0.0,1.0,191.704,230.7306,269.7573,75.608,237.4423,8.3922,12.7332,4.341
2021-11-02,258.22,266.78,258.0,264.01,263.976409873,28744823.0,0.0,1.0,190.9967,227.782,264.5673,74.988,234.4419,7.3069,11.7269,4.42
2021-11-01,256.49,258.94,252.27,258.27,258.237140176,26074158.0,0.0,1.0,190.6853,224.8074,258.9295,73.0953,231.333,6.202,10.4725,4.2705
2021-10-29,250.005,257.09,250.0,255.67,255.637470976,29250284.0,0.0,1.0,189.2787,221.7603,254.2419,72.1897,228.501,5.1343,9.3035,4.1691
2021-10-28,248.78,249.5,245.23,249.41,249.378267439,23420431.0,0.0,1.0,190.3045,219.3481,248.3916,69.87,225.6445,4.092,7.9407,3.8487
2021-10-27,244.74,250.9,242.8201,244.51,244.478890868,24598989.0,0.0,1.0,191.2521,217.2359,243.2197,67.8776,223.1462,3.1299,6.7231,3.5933
2021-10-26,239.89,252.59,239.24,247.17,247.138552435,48589830.0,0.0,1.0,192.0206,215.2691,238.5176,70.2742,220.9007,2.2315,5.5701,3.3386
2021-10-25,229.73,233.5499,227.7,231.66,231.63052578,23023483.0,0.0,1.0,194.9569,213.2604,231.5638,63.0472,218.1388,1.3969,3.7467,2.3498
2021-10-22,228.23,231.3,225.61,227.26,227.231085594,24938379.0,0.0,1.0,196.1536,212.5075,228.8613,60.4562,216.7186,0.8095,2.9437,2.1343
2021-10-21,220.97,227.11,220.83,226.92,226.891128853,18759032.0,0.0,1.0,196.7782,212.185,227.5918,60.2516,215.6121,0.2759,2.3241,2.0482
2021-10-20,223.045,224.33,219.82,221.03,221.00187824,14627594.0,0.0,1.0,197.0515,212.08,227.1085,56.5522,214.4248,-0.2362,1.5339,1.7701
2021-10-19,222.76,223.79,220.37,222.9,222.871640319,16147329.0,0.0,1.0,197.1473,211.999,226.8507,58.1856,213.7325,-0.6787,1.1027,1.7814
2021-10-18,217.49,222.91,216.44,222.22,222.191726836,18949356.0,0.0,1.0,197.4814,211.4771,225.4728,57.7642,212.7705,-1.124,0.346,1.47
2021-10-15,218.1,219.31,216.62,218.62,218.592184866,22699401.0,0.0,1.0,197.8186,210.9227,224.0267,55.5091,211.7787,-1.4915,-0.5557,0.9358
2021-10-14,212.88,217.55,211.2201,217.46,217.432332453,24358881.0,0.0,1.0,197.7922,210.9417,224.0912,54.7698,211.0615,-1.7255,-1.3321,0.3934
2021-10-13,209.18,209.9,207.13,209.39,209.363359204,18065188.0,0.0,1.0,197.389,211.1896,224.9903,49.1901,210.3909,-1.8238,-2.1855,-0.3617
2021-10-12,208.275,210.57,205.28,206.71,206.683700181,16213354.0,0.0,1.0,197.1408,211.8905,226.6403,47.1326,210.4991,-1.7334,-2.4214,-0.688
2021-10-11,205.75,210.63,205.11,206.95,206.923669646,16338754.0,0.0,1.0,197.4536,212.6759,227.8983,47.2955,210.9007,-1.5614,-2.4144,-0.853
2021-10-08,211.01,212.06,207.75,208.31,208.283496612,15125791.0,0.0,1.0,197.9601,213.4043,228.8486,48.1924,211.3194,-1.3482,-2.3948,-1.0467
2021-10-07,210.92,213.22,209.72,210.75,210.72318617,25691893.0,0.0,1.0,198.2178,214.2277,230.2377,49.8021,211.6389,-1.0865,-2.4735,-1.387
2021-10-06,201.2,207.2,200.8,207.0,206.973663284,29720175.0,0.0,1.0,198.5324,214.7787,231.0249,47.2286,211.7353,-0.7398,-2.7863,-2.0465
2021-10-05,199.5,206.48,198.54,204.51,204.483980088,27928165.0,0.0,1.0,199.356,215.5981,231.8401,45.465,212.2365,-0.2281,-2.7632,-2.5351
