date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,142.75,143.95,138.39,138.75,138.75,26237273.0,0.0,1.0,147.919,141.0576,134.1962,43.9954,141.7281,0.4459,-0.5619,-1.0078,141.2497725638,143.65998597626,140.68817984574,1,-0.03202176642946841,-0.01859241383750987,-0.03522276403744262
2021-12-16,145.77,146.526,142.89,143.34,143.34,13023160.0,0.0,1.0,148.057,141.2498,134.4426,51.1177,142.0416,0.7886,-0.3306,-1.1192,141.1517010068,143.53469910104002,140.599159558725,1,-0.016670096727721795,0.005163234031623221,0.0012849024345509275
2021-12-15,145.21,146.47,143.4,145.77,145.77,11163306.0,0.0,1.0,147.8918,141.1517,134.4116,55.6486,141.9049,0.8185,-0.4979,-1.3164,140.993386192,143.34089133404,140.49828458091,1,0.005726507520353419,-0.003819549139180367,0.017210209796970632
2021-12-14,143.3,145.28,142.1501,144.94,144.94,15573758.0,0.0,1.0,147.4343,140.9934,134.5525,54.3352,141.4981,0.5694,-0.9516,-1.521,141.0628317152,143.14595397338,140.41396258966,1,0.009542383506303542,-0.01518967239361646,0.010932223329910284
2021-12-13,140.24,143.7499,140.01,143.57,143.57,18013121.0,0.0,1.0,147.6994,141.0628,134.4263,52.1115,141.1358,0.231,-1.4324,-1.6633,141.2431091334,143.00471218984,140.342692091695,1,0.01801035240728921,-0.029359369870539997,-0.007819613862522501
2021-12-10,138.34,141.3,137.57,141.03,141.03,12858541.0,0.0,1.0,148.3233,141.2431,134.1629,47.6188,140.8795,-0.1646,-1.8857,-1.7211,141.58724020135,142.96068608412,140.276984954635,1,0.018267148014440515,-0.046146275051618946,-0.025638122262403806
2021-12-09,136.63,138.57,135.71,138.5,138.5,10783902.0,0.55,1.0,149.2386,141.5872,133.9359,42.5156,140.8637,-0.4983,-2.1782,-1.6799,142.05488313555,142.98837612368,140.23391911231,1,0.013853445135088904,-0.07170038053211503,-0.04757065108336134
2021-12-08,138.06,138.5,136.01,137.15,136.607515282,11498754.0,0.0,1.0,150.0307,142.0549,134.079,38.2398,141.1125,-0.7069,-2.2623,-1.5554,142.68438331535,143.0551111111,140.206517186855,1,-0.010104655362046744,-0.08119514972929498,-0.06800205114872937
2021-12-07,139.6,139.83,138.09,138.55,138.001977706,12579666.0,0.0,1.0,150.8267,142.6844,134.542,40.3402,141.5867,-0.7654,-2.144,-1.3786,143.21826321465,143.12881841062,140.18326626263,1,-0.0032374100739197553,-0.07774745390343418,-0.049970235079800696
2021-12-06,137.56,139.36,137.1,139.0,138.450197771,10863131.0,0.0,1.0,151.4621,143.2183,134.9744,41.0284,141.9641,-0.9166,-2.1039,-1.1873,143.77754225095,143.21188852927997,140.16870067862502,1,0.010835575597911484,-0.08117398201957393,-0.05200510069197106
2021-12-03,135.86,137.88,135.29,137.51,136.966091334,14714199.0,0.0,1.0,152.168,143.7775,135.3871,37.6847,142.3339,-1.1095,-2.0676,-0.9581,144.46331894999997,143.31667241996,140.16475480985,1,0.015058684578968418,-0.08436542815611314,-0.0646168584447272
2021-12-02,137.63,138.44,135.24,135.47,134.934160374,13268560.0,0.0,1.0,152.7563,144.4633,136.1704,32.7231,142.899,-1.1594,-1.8402,-0.6808,145.1959097447,143.4605012585,140.16762175822998,1,-0.012177337024788626,-0.09517766497486613,-0.08596256028731564
2021-12-01,140.51,140.715,137.04,137.14,136.597554836,12229044.0,0.0,1.0,152.5249,145.1959,137.867,34.8831,143.7374,-0.9254,-1.3163,-0.3909,145.82242179075,143.57763610208,140.20912589772502,1,-0.024816895398725336,-0.08445156552705879,-0.08754626811585342
2021-11-30,141.48,142.5,140.01,140.63,140.073750449,21606348.0,0.0,1.0,152.1824,145.8224,139.4625,40.1438,144.4889,-0.6382,-0.7978,-0.1596,146.2786102122,143.61966918372,140.22566945625502,1,-0.01402229545289957,-0.05882746620309198,-0.06524432633993471
2021-11-29,145.0,145.25,142.23,142.63,142.065839626,11013172.0,0.0,1.0,152.2188,146.2786,140.3385,43.7345,144.9537,-0.4783,-0.4783,-0.0,146.6167673499,143.66150305642,140.22639560302002,1,-0.015665976532884596,-0.039205119570345226,-0.04450868270442787
2021-11-26,146.44,147.88,144.42,144.9,144.326860841,7013238.0,0.0,1.0,152.3246,146.6168,140.9089,48.4027,145.2577,-0.386,-0.2665,0.1196,146.79356526434998,143.66409277236,140.21360182468,1,-0.011191483555533344,-0.017826882673530275,-0.030772210974075898
2021-11-24,145.73,147.06,145.64,146.54,145.960373966,6029780.0,0.0,1.0,152.4253,146.7936,141.1619,52.229,145.3557,-0.4385,-0.2224,0.2161,146.8428694715,143.62445019775998,140.193181880925,1,0.00500651532511065,-0.014857142856541161,-0.01675865517241637
2021-11-23,144.25,145.98,143.25,145.81,145.233261417,9972448.0,0.0,1.0,152.4618,146.8429,141.224,50.5769,145.292,-0.6549,-0.3292,0.3257,146.98928802594997,143.59436965118002,140.184764594025,1,0.007114242299165241,-0.028322004530305867,-0.018869442950456117
