date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,591.61,593.25,581.74,586.73,586.73,4433706.0,0.0,1.0,572.3006,680.9484,626.6245,37.6501,620.8406,-11.969,-16.1213,-4.1523,631.389,646.7578,560.19015,1,-0.007325821405610111,-0.15174427850626726,0.10101332332520174
2021-12-16,597.09,602.8308,588.0,591.06,591.06,3143217.0,0.0,1.0,575.2134,687.5646,631.389,38.5633,624.4312,-10.9309,-15.068,-4.1371,636.4205000000001,647.7186,559.7913000000001,1,-0.023105910353034553,-0.14015129473377952,0.12619324352647499
2021-12-15,598.18,605.69,584.51,605.04,605.04,2866196.0,0.0,1.0,577.6294,695.2116,636.4205,41.6629,627.944,-9.8966,-13.9453,-4.0486,640.5385,648.314,559.3696,1,0.011789494807605383,-0.10935774954734823,0.16403093616530073
2021-12-14,598.71,602.29,588.13,597.99,597.99,2984536.0,0.0,1.0,579.6173,701.4597,640.5385,39.3266,630.355,-8.8845,-13.7328,-4.8483,644.6055,648.4212,559.11875,1,-0.010867407701468768,-0.12396536821904158,0.14465372688641343
2021-12-13,612.0,612.64,599.52,604.56,604.56,2517915.0,0.0,1.0,584.738,704.473,644.6055,40.7722,633.7618,-7.6724,-12.5441,-4.8717,648.508,648.593,558.8491499999999,1,-0.011607755942844133,-0.08062897290063575,0.20138309288184075
2021-12-10,616.78,617.74,605.88,611.66,611.66,2748774.0,0.0,1.0,589.4205,707.5955,648.508,42.3711,636.8357,-6.4545,-11.5134,-5.0589,650.8040000000001,648.5666,558.4851,1,0.0010801963993452013,-0.05448980538251069,0.22065896345965785
2021-12-09,627.58,630.24,610.44,611.0,611.0,2376321.0,0.0,1.0,594.1017,707.5063,650.804,42.1709,639.4857,-5.1897,-10.7533,-5.5635,652.5995,648.3278,558.1636,1,-0.027193988027003013,-0.06858336255125841,0.2378444084278768
2021-12-08,630.0,632.455,623.2,628.08,628.08,2220308.0,0.0,1.0,598.8555,706.3435,652.5995,46.1106,642.4842,-3.7989,-9.5594,-5.7606,653.995,647.4432,557.79025,1,0.003996291441542343,-0.0358738199401335,0.22513946865368872
2021-12-07,619.83,628.89,611.4,625.58,625.58,3125190.0,0.0,1.0,601.4337,706.5563,653.995,45.4013,644.0005,-2.3587,-9.6357,-7.2769,655.2884999999999,646.7844,557.3931,1,0.021038371770389475,-0.031189989469119772,0.21288146108806094
2021-12-06,606.01,617.29,601.0,612.69,612.69,3075672.0,0.0,1.0,604.3394,706.2376,655.2885,41.6389,645.9395,-0.5395,-9.3383,-8.7988,656.94,646.3784,556.99855,1,0.017537741019381325,-0.08334829443447023,0.2295358311091491
