date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,175.725,180.1195,175.02,176.8,176.8,16264959.0,0.0,1.0,173.224,180.492,187.7599,56.2078,177.8182,7.1182,5.4481,-1.67,180.9320284443,157.85584024734,141.39849234127,1,-0.007577883805781616,-0.03299264477783448,0.2044370539126803
2021-12-16,190.3035,192.68,176.11,178.15,178.15,14872974.0,0.0,1.0,173.5467,180.932,188.3174,57.4236,177.9254,7.5357,6.2629,-1.2728,181.16613419555,156.8441621009,141.13813260409498,1,-0.05880177514792895,-0.016337072353478033,0.21193179249343985
2021-12-15,183.97,189.78,179.98,189.28,189.28,11082023.0,0.0,1.0,173.8519,181.1661,188.4804,69.1365,177.9018,7.8539,7.0743,-0.7795,180.7575735637,155.59932483698,140.841162823215,1,0.04011429827453572,0.12760577853413912,0.29962507835549834
2021-12-14,181.2,183.9,179.41,181.98,181.98,8542798.0,0.0,1.0,174.4596,180.7576,187.0555,64.6428,176.7041,8.0487,6.8738,-1.1749,180.0515777325,154.4835531394,140.60390976772499,1,-0.00730962251800138,0.107582064850676,0.26718260127996385
2021-12-13,186.85,191.3,183.11,183.32,183.32,16346799.0,0.0,1.0,171.6468,180.0516,188.4564,66.3269,176.1487,8.3425,7.2612,-1.0812,179.1007703478,153.381424854,140.37198228881002,1,-0.003045464433326095,0.11926635419414655,0.2942968537406063
2021-12-10,185.55,185.55,181.15,183.88,183.88,6854798.0,0.0,1.0,168.401,179.1008,189.8006,67.02,175.3938,8.6128,7.5136,-1.0992,178.096063241,152.27347574164,140.121057094505,1,0.008888401185120243,0.15514356790382333,0.20264270225019243
2021-12-09,181.77,187.84,181.51,182.26,182.26,9398943.0,0.0,1.0,165.7353,178.0961,190.4569,66.0448,174.5006,8.8876,7.6695,-1.2181,176.94224706494998,151.20390348822,139.87499235712502,1,-0.002025954114877049,0.09731120231657364,0.18998441322538429
2021-12-08,183.01,183.72,180.78,182.63,182.63,4799371.0,0.0,1.0,162.2612,176.9422,191.6233,66.4713,173.6838,9.1921,7.9218,-1.2703,176.11559256434998,150.13928340994,139.65441739996,1,-0.005932941432614913,0.10543926699852779,0.17152564959283811
2021-12-07,179.07,184.78,178.5,183.72,183.72,9910069.0,0.0,1.0,160.9547,176.1156,191.2765,67.6947,172.7421,9.5097,8.0909,-1.4187,175.19010969325,149.12418718170002,139.408857016355,1,0.04713593616414946,0.13127229753292524,0.18433498877912813
2021-12-06,176.88,176.9802,172.27,175.45,175.45,8577475.0,0.0,1.0,159.7419,175.1901,190.6383,62.7536,171.5865,9.8643,8.0782,-1.7862,174.53767063705,148.28246009872,139.21613228548,1,-0.006005325477310031,0.12823844135634022,0.13389340651198522
2021-12-03,178.04,180.27,173.71,176.51,176.51,12111796.0,0.0,1.0,158.1169,174.5377,190.9584,63.9445,171.1798,10.3109,8.7864,-1.5245,173.48756604855,147.42013070164,139.04500557895,1,-0.002937355250522522,0.2795595549014944,0.19941338563374744
2021-12-02,172.09,177.89,171.21,177.03,177.03,13101413.0,0.0,1.0,155.1333,173.4876,191.8418,64.5151,170.6188,10.692,9.4546,-1.2374,171.5333612672,146.52947072773998,138.86622322186003,1,0.007971303308090816,0.31417156316018646,0.20238541787089548
2021-12-01,180.885,183.15,175.32,175.63,175.63,10670609.0,0.68,1.0,147.6224,171.5334,195.4444,63.6863,169.9439,11.0014,10.117,-0.8843,169.48728322285,145.64170794627998,138.698563919595,1,-0.023537882144478606,0.30784066463923376,0.18790828863457687
2021-11-30,183.22,186.81,180.34,180.56,179.863608417,19309183.0,0.0,1.0,140.802,169.4873,198.1726,68.2668,169.3453,11.2225,10.9579,-0.2645,167.20860575135,144.68939508824,138.52156581588,1,-0.01730706432966822,0.35718580878171013,0.2503520758208
