date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,1305.37,1352.07,1280.01,1323.4,1323.4,1209334.0,0.0,1.0,1483.249,1684.6862,1281.8118,38.6495,1450.2659,-22.4583,-48.1997,-25.7414,1501.1439999999998,1488.7772,1372.3125,1,-0.002622693838176815,-0.19196976450259795,0.1215254237288137
2021-12-16,1428.0,1428.0,1297.915,1326.88,1326.88,1406547.0,0.0,1.0,1501.144,1706.1574,1296.1306,38.8415,1463.6202,-22.5693,-42.6961,-20.1268,1516.6905000000002,1489.2372,1371.4252999999999,1,-0.030115197941640748,-0.20798414631234619,0.14652081119146998
2021-12-15,1352.0,1376.42,1288.94,1368.08,1368.08,1576826.0,0.0,1.0,1516.6905,1713.4789,1319.9021,41.1402,1478.0139,-20.9204,-35.4049,-14.4845,1532.0525,1488.2372,1370.6864,1,0.01018991641314937,-0.17411409598551164,0.2736989107159482
2021-12-14,1368.0,1402.5499,1329.0001,1354.28,1354.28,1207938.0,0.0,1.0,1532.0525,1728.0049,1336.1001,40.0105,1489.5859,-20.5242,-29.7785,-9.2544,1547.1635,1487.4496,1370.4603,1,-0.03068389220914014,-0.18882073889501172,0.27862382809180763
2021-12-13,1447.6,1470.39,1371.01,1397.15,1397.15,1273021.0,0.0,1.0,1547.1635,1732.2602,1362.0668,42.4128,1503.8286,-16.6357,-20.759,-4.1233,1560.782,1486.5218000000002,1370.0242500000002,1,-0.04408243134142498,-0.06252935571748719,0.3207199372323635
2021-12-10,1508.49,1531.5,1442.0527,1461.58,1461.58,794286.0,0.0,1.0,1560.782,1739.702,1381.862,46.3895,1515.0579,-13.3454,-13.3099,0.0356,1562.22,1484.4058000000002,1369.1212,1,-0.022321816783170134,-0.00842605156038001,0.36932834911979917
2021-12-09,1515.0,1533.98,1482.12,1494.95,1494.95,796096.0,0.0,1.0,1562.22,1738.3685,1386.0715,48.6332,1520.6872,-13.5405,-10.1686,3.3719,1561.1725000000001,1481.4378,1367.87195,1,-0.016667872576942466,-0.03852461652249406,0.43995800383359507
2021-12-08,1508.6,1534.94,1492.0,1520.29,1520.29,776923.0,0.0,1.0,1561.1725,1739.1484,1383.1966,50.3914,1523.3963,-16.166,-9.4089,6.7571,1562.9005,1478.4182,1366.77625,1,-0.00014468829537461758,-0.00878880145002181,0.3794608425809145
2021-12-07,1471.41,1535.99,1466.6214,1520.51,1520.51,1464873.0,0.0,1.0,1562.9005,1739.9236,1385.8774,50.4064,1523.7233,-21.681,-10.8825,10.7986,1563.5635,1476.8842000000002,1365.6749,1,0.0646934431280286,-0.00494090546182735,0.40216709701217246
2021-12-06,1373.12,1430.86,1340.0,1428.12,1428.12,1208254.0,0.0,1.0,1563.5635,1740.0451,1387.0819,43.7079,1524.0616,-28.8462,-12.6274,16.2188,1568.5605,1477.2017999999998,1365.4408,1,0.01285106382978718,-0.07298644648699182,0.35509398514076396
