date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-28,1247.009936,195.68,1247.009936,195.68,1214.700347,190.61,1219.288691,191.33,197159.4,197159.4,179.85150000000002,202.02939999999998,125.76580499999999,-0.02218020135943155,0.005994005994006013,5.035113617724618,1
2021-12-27,1260.838695,197.85,1304.810325,204.75,1240.828417,194.71,1246.946209,195.67,1218339.79,1218339.79,179.57750000000001,203.1096,124.99298,-0.010818462160659292,0.010901012605910143,5.217450295668089,1
2021-12-26,1230.122281,193.03,1278.299893,200.59,1212.214994,190.22,1260.583787,197.81,1539530.03,1539530.03,179.365,204.3222,124.21409,0.02439150699119641,0.0070254034516112895,5.117368365712307,1
2021-12-25,1213.170899,190.37,1242.6765,195.0,1204.950116,189.08,1230.56837,193.1,1047151.86,1047151.86,179.5315,205.1814,123.454815,0.014393780205925522,-0.03772362585339106,6.7706237424547275,1
2021-12-24,1211.322816,190.08,1258.926885,197.55,1173.468978,184.14,1213.107172,190.36,1657041.94,1657041.94,180.047,206.3156,122.69418999999999,0.0017365679103300558,-0.10059059768485701,6.524229632089045,1
2021-12-23,1136.762226,178.38,1233.11745,193.5,1119.301028,175.64,1211.004181,190.03,1726907.3,1726907.3,181.128,207.38240000000002,121.95506499999999,0.06519058295964131,-0.18651541095890412,5.840138796901546,1
2021-12-22,1144.664374,179.62,1195.199885,187.55,1128.286535,177.05,1136.88968,178.4,1379639.45,1379639.45,183.888,208.2308,121.26123,-0.006847408562044133,-0.2237065401853705,5.755861201891944,1
2021-12-21,1108.21253,173.9,1163.272658,182.54,1085.079629,170.27,1144.728101,179.63,1302766.6,1302766.6,186.397,208.7162,120.54977,0.0329499712478436,-0.1385891718218002,5.543731125253636,1
2021-12-20,1146.44873,179.9,1154.605786,181.18,1073.736223,168.49,1108.21253,173.9,1448185.8,1448185.8,188.1285,209.28799999999998,119.87827999999999,-0.03351303284610685,-0.1479249350776618,5.0926901732159875,1
2021-12-19,1164.802106,182.78,1207.180561,189.43,1134.276873,177.99,1146.639911,179.93,1217882.6,1217882.6,189.3365,209.6034,119.1486,-0.01559251559251551,-0.10344312123175037,5.460287881888718,1
2021-12-18,1118.281396,175.48,1174.106248,184.24,1089.476792,170.96,1164.802106,182.78,1218448.99,1218448.99,190.232,209.956,118.38939,0.041422141188536266,-0.05167583272802745,5.81961488092351,1
2021-12-17,1127.266903,176.89,1163.01775,182.5,1069.848876,167.88,1118.472577,175.51,2308612.94,2308612.94,191.0935,210.3542,117.67559,-0.007633156168721178,-0.08788067768423236,5.355097547904928,1
2021-12-16,1137.718131,178.53,1204.4403,189.0,1111.207699,174.37,1127.075722,176.86,2482901.38,2482901.38,191.87150000000003,210.5068,116.93422999999999,-0.009298678019269535,-0.1576891936943372,5.565349092744929,1
2021-12-15,1027.597875,161.25,1163.909928,182.64,999.303087,156.81,1137.654404,178.52,3328550.89,3328550.89,193.44400000000002,210.9334,116.17857,0.10703212203894341,-0.13213417598444321,5.7268308306799565,1
2021-12-14,989.04304,155.2,1040.980545,163.35,953.35592,149.6,1027.661602,161.26,2151408.98,2151408.98,195.666,211.90220000000002,115.517215,0.0389794472005669,-0.2727846674182639,5.436291648706036,1
2021-12-13,1101.393741,172.83,1101.393741,172.83,943.414508,148.04,989.106767,155.21,2470231.82,2470231.82,198.993,212.84080000000003,114.9099,-0.10179398148148144,-0.28006864882415694,5.7565743937105225,1
2021-12-12,1097.060305,172.15,1127.011995,176.85,1068.319428,167.64,1101.20256,172.8,976615.96,976615.96,201.1325,213.3398,114.22305,0.0037757769387163354,-0.2503579020432952,6.267985951925302,1
