date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,461.55,464.74,458.06,459.87,459.87,135636510.0,1.6335,1.0,450.3394,462.1934,474.0475,50.1737,462.5392,-0.2147,1.5159,1.7306,462.6033061376,457.39929110176,430.2456125552151,1,-0.010604598564174617,-0.014176346819637309,0.25738921891443023
2021-12-16,472.57,472.87,464.8,466.45,464.799006881,116568626.0,0.0,1.0,450.534,462.6033,474.6726,53.6817,462.8202,0.1993,1.9836,1.7843,462.6875070510499,456.77052451726007,429.78011783845,1,-0.008818529536299913,-0.006030514830417388,0.2779729614523585
2021-12-15,463.42,470.86,460.74,470.6,468.934318015,116899251.0,0.0,1.0,450.5349,462.6875,474.8401,56.8496,462.6119,0.3153,2.0497,1.7345,462.6217406571001,456.02317913155997,429.31723332338,1,0.015624999999323208,0.006781764113909627,0.2913664459104732
2021-12-14,463.09,465.74,460.25,463.36,461.719943892,97264128.0,0.0,1.0,450.5914,462.6217,474.652,52.1717,461.9464,0.0277,1.6833,1.6557,462.82452037175,455.33123695044,428.91568089030005,1,-0.006879996568997182,-0.008367753117489607,0.2886892314284999
2021-12-13,470.19,470.56,466.27,466.57,464.918582142,87724680.0,0.0,1.0,450.7253,462.8245,474.9237,54.668,461.9702,0.277,1.9258,1.6488,462.85939648975,454.68692558192,428.51313351648,1,-0.008858393169265288,0.00603747547286404,0.2918071348884024
2021-12-10,469.23,470.9,466.51,470.74,469.073822487,77159757.0,0.0,1.0,450.7323,462.8594,474.9865,58.0986,461.6599,0.302,1.8815,1.5795,462.51213000049995,453.85787043404,428.04432182591,1,0.009413530610836496,0.01535740477203773,0.3018245326027482
2021-12-09,468.15,469.6291,466.14,466.35,464.699360829,61272568.0,0.0,1.0,450.7237,462.5121,474.3006,55.2927,460.8794,-0.1295,1.3745,1.504,462.3761131403,453.22212862594,427.60710170465006,1,-0.0067515760793303015,-0.0022037742314692244,0.289262184816121
2021-12-08,468.7,470.0,466.83,469.52,467.85814066,72238777.0,0.0,1.0,450.629,462.3761,474.1232,57.955,460.4774,-0.3836,1.1528,1.5364,462.26949186524996,452.50866289772006,427.200661198965,1,0.0026479883836747486,0.0012581835254379392,0.28638410303646356
2021-12-07,464.41,468.88,458.6546,468.28,466.622529622,95484688.0,0.0,1.0,450.6858,462.2695,473.8532,57.189,459.7004,-1.1008,0.5315,1.6323,462.30187683195,451.99767794600007,426.77933212687,1,0.0206848449194601,-0.0005335837607644001,0.28674093654992516
2021-12-06,456.13,460.79,453.56,458.79,457.166119341,98977532.0,0.0,1.0,450.6662,462.3019,473.9376,50.6524,458.9718,-2.0509,-0.1435,1.9075,462.78715310239994,451.70113129696,426.402966297715,1,0.011843324069012118,-0.017390931871542947,0.2580737683824974
2021-12-03,459.17,460.3,448.92,453.42,451.81512638,137331647.0,0.0,1.0,451.2395,462.7872,474.3348,46.2399,459.1619,-2.4602,-0.04,2.4202,463.45926571925,451.4970561836399,426.06815633847,1,-0.008701355487990892,-0.02431571699036339,0.2540631111099305
2021-12-02,450.73,459.07,450.31,457.4,455.781039227,127637758.0,0.0,1.0,453.0341,463.4593,473.8845,49.3467,459.9352,-2.3979,0.6374,3.0353,463.82397026745,451.10763941466,425.71692102316496,1,0.015316315206545417,-0.009742368477565044,0.2647260397693365
2021-12-01,461.64,464.67,450.29,450.5,448.905461678,132485835.0,0.0,1.0,454.0061,463.824,473.6419,43.044,460.3725,-2.5458,1.089,3.6348,464.3919527606,450.77143363714,425.40830276611,1,-0.011107208709725258,-0.02073732718867871,0.24826779382166508
2021-11-30,462.0,464.03,455.3,455.56,453.94755188,148559598.0,0.0,1.0,457.1035,464.392,471.6804,47.1294,461.5795,-1.9216,2.3496,4.2712,464.6151599158,450.3425570318,425.07403003089496,1,-0.019457597933740134,-0.008034839412844774,0.2760944626039614
2021-11-29,464.07,466.56,461.73,464.6,462.955554929,86268818.0,0.0,1.0,458.4298,464.6152,470.8005,56.1792,462.3829,-1.3406,3.411,4.7516,464.34860672825,449.88019935318,424.696394716345,1,0.01226659694460408,0.013702216790420163,0.295655419147584
2021-11-26,462.34,463.9,457.77,458.97,457.345482234,112669636.0,0.0,1.0,457.4786,464.3486,471.2186,50.5627,462.3226,-1.2878,3.7989,5.0868,464.3162217615501,449.61629436832004,424.33728784965496,1,-0.022303169733324912,0.011080759572257737,0.28351937569664987
2021-11-24,466.06,469.57,465.19,469.44,467.778423818,61858813.0,0.0,1.0,457.3097,464.3162,471.3227,65.3633,462.8465,-0.5987,4.8101,5.4087,463.54396486300004,449.15783465828,423.92290808496995,1,0.0026698562531444203,0.029563996841072582,0.31077492568656395
2021-11-23,467.22,469.095,464.45,468.19,466.532848176,73206538.0,0.0,1.0,454.9984,463.544,472.0895,64.1739,462.3274,-0.59,4.9684,5.5584,462.93462925849997,448.65058753832005,423.51559491644997,1,0.0013260046627316946,0.02774667983898338,0.3283498447247615
2021-11-22,470.89,473.54,467.35,467.57,465.915042657,72761954.0,0.0,1.0,453.6247,462.9346,472.2445,63.5847,461.8847,-0.4809,5.225,5.7059,462.33575648939996,448.20357103112,423.1126535206351,1,-0.002815159206134399,0.03189000706170231,0.33454293169824956
2021-11-19,469.61,470.94,468.5,468.89,467.230370536,57315573.0,0.0,1.0,452.3531,462.3358,472.3184,65.7726,461.4604,-0.2866,5.5395,5.8261,461.5500473739,447.70760193618,422.68932130733,1,-0.0017882613416501103,0.03373090235828835,0.3291460282370211
2021-11-18,469.24,470.01,466.34,469.73,468.067397368,50625607.0,0.0,1.0,450.7888,461.55,472.3113,67.1699,460.8531,-0.1714,5.7264,5.8978,460.74590373885,447.2652141877601,422.25430483461,1,0.0033964198750651153,0.038283857564777035,0.3371331047707762
