date,open,high,low,orig_close,close,volume,dividend,split,lower,upper,middle,rsi,ema,macdhist,macd,macdsignal,20dma,50dma,200dma,label,daily_return,monthly_return,annual_return
2021-12-17,212.8,213.21,207.79,211.88,211.88,11663037.0,0.0,1.0,188.8555,203.7025,218.5495,51.3956,208.0876,0.6545,1.9716,-1.3171,203.275,213.29260427902003,224.91354492995504,-1,-0.011615431263703013,0.03325855847069148,0.009418144360503478
2021-12-16,215.29,216.27,211.61,214.37,214.37,8548404.0,0.0,1.0,188.91,203.275,217.64,53.4824,207.6884,0.4203,2.2303,-1.81,202.8095,213.52753698100003,224.894397433965,-1,0.009702793085582417,-0.003764290361557787,0.03555034845780436
2021-12-15,209.4,212.49,207.86,212.31,212.31,10892534.0,0.0,1.0,189.3371,202.8095,216.2819,51.9491,206.985,-0.1383,2.2292,-2.3676,202.953,213.75914713684,224.90222394927002,-1,0.01109629488522712,4.710315591149872e-05,0.025156169770624626
2021-12-14,210.73,213.37,208.45,209.98,209.98,9832274.0,0.0,1.0,189.0255,202.953,216.8805,50.1847,206.4245,-0.6396,2.2853,-2.9249,203.06900000000002,214.04634166297998,224.926279596035,-1,-0.004928442801630295,-0.009948606723560793,0.019335901127770505
2021-12-13,212.45,213.32,209.98,211.02,211.02,8844298.0,0.0,1.0,188.8732,203.069,217.2648,50.9784,206.0502,-1.0328,2.4633,-3.4962,203.1225,214.42713717088,224.94941573525,-1,-0.011152764761012124,0.002851439977188619,0.02940114483892975
2021-12-10,211.9,214.25,210.86,213.4,213.4,8882718.0,0.0,1.0,188.7998,203.1225,217.4452,52.7938,205.5271,-1.6256,2.4864,-4.112,202.9735,214.6064004677,224.93954805121498,-1,0.009508491413974252,-0.010020411950269037,0.03414175762008642
2021-12-09,208.52,212.2,207.17,211.39,211.39,10176774.0,0.0,1.0,189.0244,202.9735,216.9226,51.4054,204.6984,-2.6009,2.1327,-4.7336,203.18200000000002,214.90432726512,224.946499518035,-1,0.01148380305277752,-0.007649160508663266,0.014772129603690454
2021-12-08,207.66,209.48,205.71,208.99,208.99,11749206.0,0.0,1.0,188.6245,203.182,217.7395,49.7283,203.994,-3.6033,1.6635,-5.2668,203.38347098665,215.22789296314,224.99372214430002,-1,0.00781212325794467,-0.050507639947156124,-0.011790463554922304
2021-12-07,206.0,207.94,205.89,207.37,207.37,11897237.0,0.0,1.0,188.4046,203.3835,218.3623,48.5905,203.4681,-4.5859,1.0968,-5.6826,204.0203254683,215.66451834114002,225.01261081156,-1,0.02313992500493378,-0.04125743191501785,-0.01889730464077022
2021-12-06,198.77,204.22,197.74,202.68,202.68,10722095.0,0.0,1.0,187.4221,204.0203,220.6186,45.1781,203.0574,-5.6084,0.3485,-5.9568,204.70101164700003,216.23467460112002,225.03608544813503,-1,0.032396088019559954,-0.027528531249714217,-0.04122175276685636
2021-12-03,198.27,198.47,194.04,196.32,196.32,10660536.0,0.0,1.0,187.2822,204.701,222.1198,40.0518,203.0971,-6.3543,-0.3104,-6.0439,205.3058829277,216.86654478428002,225.073491517385,-1,-0.009934943769226878,-0.05496622277393515,-0.05064038447571073
2021-12-02,192.0,199.435,191.85,198.29,198.29,13976279.0,0.0,1.0,188.2569,205.3059,222.3548,41.1851,203.8105,-6.5665,-0.6001,-5.9663,205.77831325395,217.3480080811,225.12404279026998,-1,0.042753470761464074,-0.05022972094888967,-0.05083142042113431
2021-12-01,196.03,196.81,190.1,190.16,190.16,13213371.0,0.0,1.0,189.0119,205.7783,222.5447,33.8467,204.3916,-6.9423,-1.126,-5.8163,206.70915327525,217.94056098822003,225.20608580023497,-1,-0.018630334933168236,-0.10340387476761559,-0.09414396281822746
2021-11-30,195.27,197.66,192.56,193.77,193.77,16022982.0,0.0,1.0,191.5217,206.7092,221.8966,35.7271,205.8897,-6.4932,-0.9584,-5.5348,207.62520501535,218.45851806326,225.27201996374998,-1,-0.012838147638697728,-0.08340608716470332,-0.07321723002123537
2021-11-29,201.0,201.25,195.36,196.29,196.29,14633524.0,0.0,1.0,193.4968,207.6252,221.7536,37.0937,207.1654,-6.1932,-0.898,-5.2952,208.38081666930003,218.96001609276001,225.33560739988502,-1,-0.0068808499873515006,-0.06294568789829214,-0.06405646676917609
2021-11-26,193.32,199.19,192.55,197.65,197.65,10987553.0,0.0,1.0,195.1716,208.3808,221.59,37.8358,208.3102,-5.9767,-0.906,-5.0707,208.97209590840004,219.48582451195998,225.39587895778,-1,-0.027552275522755187,-0.08242727415979756,-0.05708018985318486
2021-11-24,198.17,203.95,197.64,203.25,203.25,12026815.0,0.0,1.0,196.7127,208.9721,221.2315,41.0478,209.4323,-5.752,-0.9078,-4.8442,209.5798593673,219.88925099216,225.40558777099497,-1,0.023981056980200366,-0.12171691463915246,-0.024769052431369953
2021-11-23,196.97,198.92,194.38,198.49,198.49,14749103.0,0.0,1.0,197.3102,209.5799,221.8495,36.7091,210.0831,-5.9516,-1.3344,-4.6173,211.226230046,220.37230456384,225.439494165615,-1,0.014878821965436106,-0.1498404990091362,-0.040653974295032924
2021-11-22,200.0,201.7,194.6,195.58,195.58,21191921.0,0.0,1.0,196.7182,211.2262,225.7342,33.883,211.3034,-5.6352,-1.3516,-4.2837,213.1209218514,220.94550256324,225.489789374225,-1,-0.026286966046002225,-0.15270405355532635,-0.03487460080489013
2021-11-19,202.04,203.5,199.85,200.86,200.86,18038726.0,0.0,1.0,197.4317,213.1209,228.8102,36.7084,212.9585,-4.8531,-0.9074,-3.9458,214.61934376075,221.41869083748003,225.52302774583498,-1,-0.012147740126887352,-0.12608831187680491,-0.026439822392485324
2021-11-18,206.5,207.87,201.27,203.33,203.33,18292164.0,0.0,1.0,198.1932,214.6193,231.0454,38.121,214.232,-4.3219,-0.603,-3.7189,215.9448516335,221.89398950142,225.546301605865,-1,-0.008436555154588854,-0.11985254506453435,-0.015700756637042068
2021-11-17,205.95,207.31,199.46,205.06,205.06,38379567.0,0.0,1.0,199.1034,215.9449,232.7863,39.1228,215.3796,-3.8325,-0.2643,-3.5682,217.24275704485004,222.3666325931,225.52171399992,-1,-0.04703039315921553,-0.12034629314728573,-0.02089394993374638
2021-11-16,212.16,215.65,211.66,215.18,215.18,8719577.0,0.0,1.0,199.9616,217.2428,234.524,45.8133,216.4659,-3.3282,0.1739,-3.5021,218.13948010965,222.58057363091996,225.45273860341499,-1,0.013565708902496532,-0.06544834627736007,0.017813815345428585
